Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Moha Moukhliss,Vizela,Vizela,"LCMF, DMF",25,300000,,11,1069,2,0.28,4,2.23,9.77,51.72,Spain,"Spain, Morocco",right,169,66,no,5.39,5.05,55,0.59,42.86,0.25,0.43,0.08,2.36,4.04,0.84,1,0.08,0,0,0.84,0.17,2,0.17,0.02,0,0,7,0.59,57.14,28.571,0.34,0.42,20,0.08,0,0.34,25,0.17,0.59,71.43,3.2,52.63,0.17,1.01,0.08,35.11,0.25,1.52,44.45,86.17,12.12,77.08,6.82,97.53,17.85,88.68,41.09,88.93,2.95,57.14,18.8,37.72,0.19,1.09,0,0.08,0.08,0,0.51,6.4,76.32,1.01,58.33,0.34,50,0.42,0.17,6.48,70.13,,0.67,0,0,1.26,0,0
Miguel Tavares,Vizela,Vizela,"LWB, LW",27,150000,,11,973,1,2.36,2,2.45,24.23,46.56,Portugal,Portugal,right,179,70,no,4.62,3.98,53.49,1.48,31.25,0,0,0.09,2.5,4.24,1.11,1,0.09,0,0,6.75,0.09,1,0.09,0.22,0,0,32,2.96,34.38,3.125,0.18,2.59,32.14,2.59,32.14,0,0,0.74,8.42,58.24,17.11,47.03,2.68,5.73,0.37,18.78,1.02,2.22,25.34,68.98,5.83,69.84,6.29,85.29,7.86,67.06,21.83,72.88,1.02,72.73,17.76,32.81,0.23,1.29,0,0,0.18,0,0.46,2.87,70.97,2.96,34.38,0.37,50,0.74,0.92,5.46,74.58,,0.28,0.28,33.33,0.09,0,0
Rúben Alves,Penafiel,Penafiel,"RW, LCMF, RAMF",30,300000,,11,734,0,0.31,0,0.91,17.41,52.82,Portugal,Portugal,right,168,63,no,3.92,4.9,50,1.84,13.33,0.12,0.17,0,1.35,1.92,0.98,2,0.25,0,0,2.94,0,0,0,0.04,0,0,9,1.1,33.33,0,0,1.84,53.33,0.86,71.43,0.98,37.5,0.25,1.59,84.62,9.32,63.16,0.98,1.47,0.25,19.62,1.47,4.29,30.29,78.14,10.05,63.41,6.38,96.15,7.72,82.54,25.26,83.5,3.31,51.85,17.79,35.72,0.11,0.98,0,0,0.37,66.67,0,5.89,68.75,2.94,41.67,0.98,25,0.74,0.86,6.01,81.63,,1.1,0.12,0,1.72,0,0
Reko,Penafiel,Penafiel,"RCMF, RDMF",30,450000,,11,1056,3,2.4,0,0.73,14.32,44.64,Portugal,Portugal,right,180,73,no,6.14,5.63,46.97,2.81,39.39,0.34,0.45,0.26,3.15,4.13,1.62,3,0.26,0,0,0.68,0.26,1,0.09,0.2,0,0,11,0.94,36.36,27.273,0,0.43,20,0.17,50,0.26,0,0.09,1.19,21.43,3.84,44.44,0.68,0.6,0.26,15.85,0.17,1.45,26.42,78.71,9.29,63.3,4.18,95.92,9.2,86.11,23.27,83.52,2.73,46.88,19.62,38.87,0.06,0.85,0,0,0,0,0.09,4.69,69.09,0.77,55.56,0,0,0.68,0.17,4.94,56.9,,0.26,0,0,0.17,2,100
Davo,Penafiel,Penafiel,"LW, LAMF, CF",30,500000,2026-06-30,11,743,2,1.83,0,0.66,15.75,46.92,Spain,Spain,right,178,71,no,4.72,4.12,67.65,1.45,25,0,0,0,1.94,2.58,0.73,0,0,0,0,4.24,0.24,2,0.24,0.22,0,0,13,1.57,53.85,15.385,0,2.66,27.27,1.94,18.75,0.73,50,0.12,4.97,48.78,8.48,41.43,2.54,2.06,0.36,18.05,0.85,1.21,26.77,75.57,7.51,66.13,7.51,88.71,8.12,73.13,22.29,82.61,2.18,55.56,18.99,33.76,0.08,0.97,0,0,0.24,100,0.36,3.88,78.13,2.54,57.14,0.36,33.33,1.09,0.73,5.45,68.89,,1.09,0,0,1.82,0,0
Miguel Teixeira,Lusitania FC Lourosa,Lusitania FC Lourosa,"LDMF, LCMF, RCMF",22,0,,11,671,0,0.84,0,0.75,15.69,43.59,Portugal,Portugal,unknown,0,0,no,4.29,3.49,50,2.68,40,0.4,0.67,0.13,2.15,3.58,1.48,3,0.4,0,0,2.01,0,0,0,0.11,0,0,11,1.48,9.09,0,0,2.41,38.89,0.8,33.33,1.61,41.67,0.13,1.48,63.64,7.78,43.1,1.34,2.41,0.27,18.91,0.8,1.88,27.36,80.39,6.04,75.56,6.17,89.13,10.33,83.12,23.87,85.39,1.07,62.5,19.05,28.66,0.1,1.88,0,0,0,0,0.27,1.74,92.31,2.41,50,0.13,0,0.4,0.8,3.62,70.37,,0,0,0,0,0,0
Gonçalo Braga,Lusitania FC Lourosa,Lusitania FC Lourosa,RB,22,0,,11,611,0,0,0,0.12,10.61,50,Portugal,Portugal,right,185,74,no,6.92,6.04,58.54,1.47,50,0,0,0.44,3.39,5.35,0.44,0,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,2.65,11.11,0,0,2.65,11.11,0.29,0.15,0,2.5,29.41,0.15,1.47,0,25.78,1.33,0.88,34.17,78.45,11.64,72.15,6.63,95.56,9.57,80,28.58,87.63,3.09,47.62,19.69,26.24,0.02,0.44,0,0,0,0,0.15,3.68,68,1.77,16.67,0.15,0,0,0.44,6.33,62.79,,0,0,0,0,0,0
D. Collard,Lusitania FC Lourosa,Lusitania FC Lourosa,"LCB, RCB",25,300000,,11,1127,4,3.57,0,0.04,11.34,58.45,Australia,"Australia, Mauritius",right,201,96,no,7.59,3.91,63.27,4.55,68.42,0.16,0.25,0.88,4.95,7.65,1.28,1,0.08,0,0,0.72,0.32,4,0.32,0.28,2,0.16,15,1.2,53.33,26.667,0,0.16,50,0.08,100,0.08,0,0,0.08,0,1.12,21.43,1.44,1.52,0,29.79,0.08,0.08,46.08,89.25,20.84,82.38,2.32,100,19.65,96.34,39.45,93.72,6.47,62.96,22.16,35.3,0,0.08,0,0,0,0,0,6.63,79.52,0.56,42.86,0.32,25,0.24,0.08,9.42,80.51,,0,0,0,0,0,0
João Silva,Lusitania FC Lourosa,Lusitania FC Lourosa,CF,35,0,,11,903,2,2.9,1,0.18,20.23,40.39,Portugal,Portugal,right,189,79,no,2.49,1.69,58.82,9.27,46.24,0,0,0,1.5,2.42,1.1,1,0.1,0,0,1.3,0.2,2,0.2,0.29,1,0.1,23,2.29,39.13,8.696,0.1,1.1,0,0.6,0,0.5,0,0.1,0.5,80,6.88,28.99,3.39,0.2,0,6.98,1.4,1.89,12.46,67.2,2.19,72.73,3.49,88.57,1.89,52.63,11.16,73.21,0.2,100,13.49,3.59,0.02,0.2,0,0,0,0,0.1,0.3,33.33,0.5,40,0,0,0.4,0,1.1,54.55,,0,0,0,0,1,0
Arsénio,Lusitania FC Lourosa,Lusitania FC Lourosa,"AMF, RCMF, RW",36,50000,,11,879,1,1.42,3,2.67,13.82,45.19,Portugal,Portugal,right,180,75,no,3.38,3.89,55.26,1.02,40,0.2,0.31,0.1,1.02,1.55,1.23,3,0.31,0,0,1.84,0.1,0,0,0.15,0,0,8,0.82,37.5,12.5,0.31,1.64,50,0.31,33.33,1.33,53.85,0.1,1.33,53.85,7.06,44.93,0.92,1.13,0,20.48,0.72,1.64,29.08,78.52,7.88,64.94,7.27,92.96,9.01,77.27,25.09,82.86,2.35,52.17,18.01,39.81,0.27,2.25,0.1,0,0,0,0.31,3.99,71.79,2.15,61.9,0.31,33.33,0.72,0.82,5.02,61.22,,1.95,0,0,3.38,1,100
Fabinho,Lusitania FC Lourosa,Lusitania FC Lourosa,"LCMF, AMF, RCMF",30,350000,2027-06-30,11,705,1,0.7,0,0.37,13.4,52.38,Portugal,Portugal,right,180,74,no,4.85,4.72,62.16,2.04,50,0.64,0.92,0.13,1.28,1.84,1.4,1,0.13,0,0,0.89,0.13,1,0.13,0.09,0,0,11,1.4,27.27,9.091,0,1.02,37.5,0.13,100,0.89,28.57,0,0.26,50,4.6,47.22,1.53,0.77,0,27.32,0.51,1.53,38.17,83.95,15.32,75.83,5.11,95,12.89,88.12,33.96,88.35,3.19,52,19.15,31.68,0.05,0.51,0,0,0,0,0.26,7.15,78.57,1.91,46.67,0.13,0,0.77,0.38,7.53,81.36,,0.51,0,0,0.89,0,0
Tiago Dias,Lusitania FC Lourosa,Lusitania FC Lourosa,"LW, LAMF, LB",27,325000,,11,738,1,0.7,2,2.13,17.2,48.94,Portugal,Portugal,left,175,65,no,4.39,4.88,57.5,0.24,0,0,0,0,1.59,2.65,0.37,1,0.12,0,0,7.07,0.12,1,0.12,0.08,0,0,13,1.59,46.15,7.692,0.24,6.59,33.33,5.49,33.33,1.1,33.33,1.59,6.59,62.96,10.73,48.86,1.34,4.15,0.24,16.83,0.85,0.37,23.66,64.95,5.37,65.91,3.78,83.87,8.41,59.42,16.34,76.87,1.34,72.73,19.61,22.61,0.26,2.32,0,0,0,0,0.49,1.83,60,5.85,41.67,0.12,0,0.73,1.95,5.12,73.81,,0.73,0.24,0,3.05,0,0
Ronaldo Lumungo,Paços de Ferreira,Paços de Ferreira,"RWF, RW, LW",24,225000,2027-06-30,11,892,2,1.53,0,0.43,20.58,42.16,São Tomé e Príncipe,São Tomé e Príncipe,right,170,64,no,6.15,4.84,60.42,1.82,27.78,0,0,0,3.23,4.36,0.81,1,0.1,0,0,3.03,0.2,2,0.2,0.15,0,0,20,2.02,35,10,0,3.03,20,0,0,3.03,20,0.2,3.63,47.22,10.8,35.51,2.02,2.72,0.81,10.8,1.11,2.22,15.03,55.7,3.13,48.39,3.23,81.25,4.14,43.9,11.6,66.96,0.71,0,17.09,23.16,0.04,0.5,0.1,0.1,0,0,0.3,1.51,40,2.32,39.13,0,0,0.5,0.81,2.42,50,,0,0,0,0,0,0
Marco Cruz,Marítimo,Marítimo,"LDMF, RDMF, RCMF",21,0,2028-06-30,11,757,0,0.13,0,0.62,16.29,45.26,Portugal,Portugal,left,181,78,yes,6.54,4.52,55.26,3.21,48.15,0.36,0.66,0.24,3.69,6.84,1.78,4,0.48,0,0,1.07,0,0,0,0.02,0,0,7,0.83,28.57,0,0,1.19,20,0.59,20,0.48,25,0,1.55,38.46,6.66,41.07,0.83,0.71,0,21.52,0.59,2.14,32.81,81.88,9.39,67.09,9.51,95,7.37,80.65,28.3,87.39,3.45,55.17,15.9,30.8,0.07,1.19,0,0,0,0,0.36,3.57,63.33,1.9,37.5,0.48,25,0.83,0.24,3.69,74.19,,1.55,0,0,2.14,0,0
Costinha,Paços de Ferreira,Paços de Ferreira,"LWF, LW",24,250000,2026-06-30,11,810,4,1.92,0,0.1,17.56,43.04,Portugal,Portugal,right,173,66,no,6.33,5.78,67.31,1.89,5.88,0.11,0.15,0.11,2.33,3.21,1,2,0.22,0,0,2.33,0.44,3,0.33,0.21,1,0.11,20,2.22,25,20,0,2.22,20,1.89,23.53,0.33,0,0.22,2.78,48,8,36.11,1.89,1.11,0.11,15.67,1.22,1.56,23.67,65.73,7.11,54.69,4.33,94.87,7.78,67.14,19.11,73.84,2.33,42.86,19.19,29.07,0.01,0.33,0,0,0.11,0,0.22,3.11,50,3,33.33,0.67,33.33,0.44,0.44,5.33,60.42,,0.11,0,0,0,1,100
Martín Tejón,Marítimo,Marítimo,"LAMF, LWF, LW",21,0,2027-06-30,11,1011,0,0.59,2,1.51,20.92,42.98,Spain,Spain,right,165,60,no,5.96,6.59,54.05,2.31,26.92,0.09,0.16,0,2.31,4.29,2.67,1,0.09,0,0,2.67,0,0,0,0.05,0,0,19,1.69,36.84,0,0.18,3.47,25.64,2.4,33.33,1.07,8.33,0.71,2.67,43.33,9.79,40,1.69,1.51,0.18,19.85,2.31,2.49,29.11,72.78,6.77,68.42,6.59,89.19,9.08,65.69,23.23,83.52,2.76,38.71,16.9,35.91,0.13,1.6,0,0,0,0,0.45,2.05,60.87,3.2,38.89,0.18,0,0.45,1.42,4.18,57.45,,1.87,0.18,50,2.49,0,0
I. Guirassy,Marítimo,Marítimo,"RDMF, DMF, LDMF",27,500000,2026-06-30,11,566,1,0.23,0,0.14,16.06,53.47,France,"France, Guinea",right,190,77,no,7.47,6.2,61.54,3.82,50,0.16,0.33,0,3.5,7.33,1.91,1,0.16,0,0,1.43,0.16,1,0.16,0.04,0,0,5,0.8,20,20,0,0,0,0,0,0,0,0,2.07,61.54,5.25,51.52,0.48,1.11,0,14.47,0,1.27,28.3,85.39,9.86,74.19,3.82,100,11.13,90,26.4,86.75,1.91,66.67,18.03,18.94,0.02,0.16,0.16,0,0.32,0,0.16,4.93,80.65,0.48,33.33,0.32,0,0.48,0,4.29,70.37,,0,0,0,0,0,0
Samú Silva,Marítimo,Marítimo,GK,26,450000,2026-06-30,11,1035,0,0,0,0,0.78,88.89,France,"France, Portugal",right,193,90,no,2.09,0.09,100,0.52,83.33,0.09,0.16,0,1.91,3.46,0.09,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,100,0,0,0,13.57,0.26,0.17,19.3,84.68,10.96,74.6,0,0,7.39,100,11.91,98.54,7.3,63.1,32.53,49.28,0,0,0,0,0,0,0,3.91,64.44,0.35,0,0.09,0,0,0,5.57,76.56,0.52,,,,0,0,0
Tiago Ferreira,Paços de Ferreira,Paços de Ferreira,"CB, LCB",32,125000,,11,1018,0,0.32,0,0,6.98,64.56,Portugal,Portugal,left,185,76,no,5.66,2.83,65.63,1.86,66.67,0,0,1.33,3.8,5.1,0.53,1,0.09,0,0,0.27,0,0,0,0.03,0,0,2,0.18,100,0,0,0.35,0,0.27,0,0.09,0,0,0.18,50,0.8,66.67,0.27,1.06,0,22.63,0,0.62,34.74,86.26,12.91,74.66,2.65,93.33,16.44,95.16,30.15,94.13,4.24,37.5,21.59,32.92,0,0,0,0,0,0,0,3.27,54.05,0.18,50,0.09,100,0.09,0,4.77,57.41,,0,0,0,0,0,0
Carlos Daniel,Marítimo,Marítimo,"AMF, RCMF",31,500000,2027-06-30,11,638,3,1.48,0,0.82,13.26,31.91,Portugal,Portugal,right,178,70,no,4.94,4.8,44.12,2.12,40,0.14,0.27,0,2.68,5.14,1.41,0,0,0,0,1.41,0.42,3,0.42,0.21,0,0,13,1.83,53.85,23.077,0,0.56,50,0.28,100,0.28,0,0.14,0.99,14.29,4.09,13.79,2.68,0.56,0,15.8,0.71,0.42,23.7,69.64,9.03,54.69,3.81,96.3,6.49,65.22,21.72,73.38,1.41,20,14.04,22.28,0.12,0.85,0.14,0,0.14,0,0.28,3.67,65.38,1.69,33.33,0.28,0,0.85,0.28,3.39,75,,0,0,0,0,0,0
N. Michelis,Academico Viseu,Academico Viseu,"CB, LCB",24,300000,,11,956,1,0.23,1,0,10.54,64.29,Greece,Greece,left,192,85,no,7.44,3.67,74.36,4.99,60.38,0.09,0.14,0.47,4.61,6.93,0.85,0,0,0,0,0.09,0.09,1,0.09,0.02,1,0.09,2,0.19,50,50,0.09,0,0,0,0,0,0,0,0.09,0,0.85,33.33,0.47,0.19,0,33.14,0.09,0.38,48.86,85.36,22.59,75,2.26,91.67,21.09,94.64,42.08,91.95,6.78,44.44,22.97,38.58,0,0,0.09,0,0,0,0.09,5.27,55.36,0.38,0,0.09,100,0,0,7.34,58.97,,0,0,0,0,0,0
S. Messeguem,Academico Viseu,Academico Viseu,"LCMF, LDMF, RW",24,550000,2028-06-30,11,1058,1,2.21,3,1.91,15.57,44.26,Germany,"Germany, Algeria",left,180,72,no,7.15,6.29,58.11,1.62,26.32,0.43,0.63,0.26,3.06,4.52,1.28,2,0.17,0,0,1.96,0.09,1,0.09,0.19,0,0,17,1.45,35.29,5.882,0.26,1.28,46.67,0.94,36.36,0.34,75,0.26,1.7,45,5.95,37.14,1.19,0.34,0.09,20.67,0.68,1.7,30.96,77.75,9.53,59.82,6.47,94.74,10.8,84.25,26.54,83.01,3.32,43.59,19.46,39.02,0.16,1.02,0.17,0,0.09,100,0.26,3.91,54.35,2.47,51.72,0.34,25,0.77,0.6,4.85,71.93,,0.77,0.34,50,1.36,0,0
A. Correia,Academico Viseu,Academico Viseu,RCB,26,900000,,11,1055,1,0.3,0,0.14,8.53,48,France,"France, Portugal",both,185,79,no,4.95,3.16,56.76,3.33,38.46,0,0,0.34,3.16,4.63,0.85,2,0.17,0,0,0.34,0.09,1,0.09,0.03,0,0,1,0.09,100,100,0,0.51,16.67,0,0,0.51,16.67,0.09,0.17,100,1.36,37.5,0.09,0.6,0.09,29.86,0.34,0.43,42.23,88.28,18.17,80.75,2.39,96.43,18.34,94.88,35.23,95.64,6.57,53.25,22.85,40.78,0.01,0.17,0,0.09,0,0,0,4.61,55.56,1.02,41.67,0.26,66.67,0.26,0.09,6.65,76.92,,0,0,0,0,0,0
Andre Clóvis,Academico Viseu,Academico Viseu,CF,27,1300000,2026-06-30,11,1024,11,8.52,2,0.76,18.11,34.95,Brazil,Brazil,right,186,78,no,2.46,1.76,55,5.36,42.62,0,0,0.09,1.49,2.21,1.67,2,0.18,0,0,3.08,0.97,10,0.88,0.75,2,0.18,45,3.96,48.89,24.444,0.18,0.62,71.43,0.26,66.67,0.35,75,0,1.58,38.89,7.29,27.71,4.83,0.79,0.09,6.24,1.67,1.05,10.02,61.4,2.72,35.48,2.72,87.1,2.37,55.56,8.44,66.67,0.97,9.09,18.86,24.88,0.07,0.62,0,0,0.18,50,0.35,1.76,40,1.14,38.46,0.26,33.33,0.35,0.44,2.02,60.87,,0,0,0,0,1,100
