Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
C. Devlin,Hearts,Hearts,"LCMF, RCMF, DMF",27,1000000,2026-05-31,12,1176,0,0.51,0,0.3,18.52,57.44,Australia,Australia,right,170,68,no,11.86,8.8,66.09,2.53,45.45,0.61,0.92,0.08,5.43,8.19,1.61,2,0.15,0,0,1.22,0,0,0,0.04,0,0,9,0.69,22.22,0,0,0.77,30,0.31,0,0.46,50,0.15,0.46,50,4.44,48.28,0.61,0.15,0,33.21,0.46,1.91,52.88,87.99,16.76,80.37,7.65,99,19.06,91.97,47.98,91.39,4.13,59.26,17.54,34.44,0.02,0.46,0,0.08,0.69,88.89,0.08,7.5,79.59,2.14,53.57,0.31,25,0.99,0.15,7.35,80.21,,0.23,0,0,0.08,0,0
I. Samuels,Dundee,Dundee,"LB, LWB",22,100000,,12,962,0,0,0,0.28,13.94,42.28,England,"England, Nigeria",left,187,73,no,8.89,4.49,64.58,1.87,40,0.37,0.4,0.09,5.61,5.94,0.28,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,1.22,7.69,1.22,7.69,0,0,0.28,1.31,42.86,5.52,33.9,0.28,0.94,0,16.28,1.5,0.65,24.32,75,9.07,67.01,4.49,95.83,6.55,67.14,21.14,82.74,1.96,33.33,19.78,31.38,0.03,0.28,0,0,0,0,0,2.99,59.38,1.59,5.88,0,0,0,0.09,4.86,57.69,,0.47,0,0,0.47,0,0
J. McCracken,Dundee,Dundee,GK,25,250000,2026-06-30,12,1169,0,0,0,0,0.77,90,Scotland,Scotland,right,190,77,no,1.69,0.08,100,0.54,100,0,0,0,1.62,1.71,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,50,0,0,0,16.24,0.15,0.08,21.09,70.07,13.86,56.67,0,0,6.7,96.55,9.85,96.09,11.16,46.9,41.81,56.36,0,0,0,0,0,0,0,5.54,34.72,0.62,25,0.23,0,0.15,0,6.31,64.63,0.54,,,,0,0,0
R. Astley,Dundee,Dundee,RCB,24,600000,2026-05-31,12,1169,1,0.59,0,0.03,12.63,60.98,Wales,Wales,right,184,74,no,8.24,5,66.15,4.08,67.92,0.15,0.16,0.69,4.77,5.04,0.23,0,0,0,0,0.23,0.08,1,0.08,0.05,1,0.08,5,0.38,40,20,0,0.31,25,0,0,0.31,25,0,0.15,0,1.46,36.84,0.31,0.46,0,20.09,0.38,0.77,31.49,81.17,15.01,71.28,3.54,97.83,9.47,91.06,27.33,88.45,3.93,35.29,20.76,38.71,0,0.15,0,0,0,0,0,4.16,48.15,0.38,0,0.08,0,0,0,5.39,64.29,,0,0,0,0,0,0
D. Watson,Kilmarnock,Kilmarnock,"RCMF, RW, LCMF",20,0,2026-05-31,12,1139,3,2.52,1,0.33,18.88,46.03,Scotland,Scotland,right,0,0,no,7.82,7.43,53.19,2.37,33.33,0.63,0.7,0.4,3.24,3.6,1.11,3,0.24,0,0,1.66,0.24,3,0.24,0.2,1,0.08,15,1.19,46.67,20,0.08,1.42,44.44,0.24,33.33,1.19,46.67,0.24,1.19,33.33,6.4,39.51,1.03,0.63,0.32,12.48,1.03,2.13,20.86,70.83,7.82,59.6,3.4,95.35,6.8,74.42,16.04,79.8,3.63,41.3,20.17,34.94,0.03,0.4,0.08,0,0.08,100,0.32,4.11,50,2.21,50,0.71,33.33,0.79,0.47,4.58,70.69,,0.16,0.08,0,0,0,0
M. Dackers,Kilmarnock,Kilmarnock,CF,22,50000,2026-05-31,12,944,1,2.76,0,0.59,35.85,39.36,Wales,"Wales, England",right,201,93,no,4.39,2.96,54.84,13.35,56.43,0.38,0.44,0,2.38,2.73,1.72,3,0.29,0,0,2,0.1,1,0.1,0.26,1,0.1,18,1.72,33.33,5.556,0,0.95,30,0.1,0,0.86,33.33,0.1,2.76,41.38,12.49,25.19,3.53,1.24,0.38,10.2,2.19,1.14,17.64,74.05,3.24,64.71,6.39,82.09,3.24,82.35,16.3,77.19,0.57,66.67,15.45,19.93,0.06,0.38,0,0,0,0,0.38,1.62,70.59,0.95,50,0.1,0,0.67,0.1,1.72,66.67,,0,0,0,0,0,0
B. Anderson,Kilmarnock,Kilmarnock,CF,27,550000,2026-05-31,12,674,1,1.57,0,0.1,19.5,28.77,Scotland,Scotland,right,173,66,no,3.34,3.2,50,5.47,14.63,0.13,0.15,0.13,1.6,1.8,1.74,1,0.13,0,0,1.34,0.13,1,0.13,0.21,0,0,14,1.87,42.86,7.143,0,0.4,33.33,0.27,50,0,0,0,0.8,50,5.74,32.56,2.8,0.67,0.4,8.68,3.07,1.6,11.62,73.56,2.67,45,2.8,80.95,2.54,89.47,10.95,74.39,0.27,100,16.68,5.25,0.01,0.4,0.13,0,0,0,0.4,1.07,50,0.4,66.67,0,0,0.4,0.13,1.07,75,,0,0,0,0,0,0
D. Thompson,Kilmarnock,Kilmarnock,"LB, LWB",25,700000,,12,920,0,0.1,1,1.62,12.62,44.96,England,"England, Jamaica",left,183,75,no,8.61,4.89,54,2.05,42.86,0.29,0.32,0.49,5.67,6.13,0.68,1,0.1,0,0,1.47,0,0,0,0.01,0,0,3,0.29,33.33,0,0.1,2.93,43.33,2.45,40,0.29,33.33,0.49,0.49,20,3.82,41.03,0.39,1.08,0.49,14.77,0.49,1.17,25.63,66.79,12.62,58.91,3.33,88.24,7.04,69.44,16.14,76.97,6.75,53.62,23.47,34.16,0.16,0.68,0,0,0,0,0.2,5.58,61.4,4.11,52.38,0.59,66.67,1.27,1.27,9.2,69.15,,1.47,0.1,0,2.45,0,0
K. Adams,Falkirk,Falkirk,RB,24,0,2027-06-30,12,1170,0,0.42,1,0.72,17.46,51.98,Scotland,Scotland,unknown,0,0,no,10.46,8.62,63.39,3.62,40.43,0,0,0.46,5,7.3,0.69,2,0.15,0,0,1.46,0,0,0,0.03,0,0,4,0.31,25,0,0.08,2.38,29.03,0,0,2.31,30,0.08,1.69,40.91,3.69,39.58,0.85,1.85,0.77,21.54,2.08,0.62,33.62,74.14,13.23,61.05,5.69,95.95,8,79.81,28.85,81.33,2.46,34.38,17.75,36.21,0.06,0.38,0.08,0,0,0,0.31,4.15,55.56,2,34.62,0.08,0,0.15,0.62,6.54,55.29,,0.08,0,0,0.08,0,0
H. Cartwright,Falkirk,Falkirk,"RDMF, LDMF",20,0,,12,586,1,0.1,0,0,17.66,46.09,England,England,right,0,0,yes,8.29,7.83,60.78,2.92,26.32,0,0,0,3.53,5.27,2.15,2,0.31,0,0,0.92,0.15,1,0.15,0.02,0,0,2,0.31,100,50,0,0.31,0,0.15,0,0.15,0,0.15,0.92,66.67,4.45,37.93,0,0.61,0.15,19.51,0,1.23,32.87,77.57,10.9,52.11,5.53,88.89,11.98,88.46,27.8,86.74,4.76,29.03,20.58,30.67,0,0,0,0,0.15,0,0,6.3,53.66,0.77,40,0.46,0,0.15,0,4.91,68.75,,0.15,0.15,100,0,0,0
