Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Camara,Sar?yer,Sar?yer,"RW, RAMF",22,0,,13,673,1,1.42,1,1.56,14.04,52.38,Senegal,Senegal,right,0,0,yes,4.28,3.48,73.08,2.27,35.29,0.13,0.22,0,1.6,2.63,0.67,2,0.27,1,0.13,3.08,0.13,1,0.13,0.19,0,0,10,1.34,40,10,0.13,3.08,26.09,0.13,100,2.94,22.73,0.27,2.67,65,7.62,47.37,4.55,1.2,0.13,16.05,2.67,2.27,19.66,75.51,2.27,58.82,7.09,92.45,6.15,65.22,16.45,85.37,0.53,0,16.22,11.49,0.21,0.94,0,0,0,0,0.53,0.53,100,1.74,38.46,0,0,0.94,0.8,1.87,85.71,,0,0,0,0,0,0
A. Uysal,Sar?yer,Sar?yer,GK,31,250000,,13,1327,0,0,0,0,0.54,75,Türkiye,Türkiye,right,190,78,no,1.56,0.07,0,0.41,83.33,0,0,0,1.56,2.15,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41,0.27,0.07,19.4,86.71,11.06,82.21,0,0,7.53,92.79,13.7,96.53,5.7,63.1,29.55,42.46,0,0,0,0,0,0,0,1.09,56.25,0,0,0.07,100,0.07,0,4.61,69.12,0.41,,,,0,0,0
M. Dembélé,Sar?yer,Sar?yer,"CF, LW, RAMF",28,700000,,13,1245,5,4.87,1,1.12,19.59,33.95,France,France,right,184,75,no,3.25,3.25,44.44,5.49,34.21,0.07,0.1,0.29,1.73,2.36,0.94,3,0.22,0,0,2.6,0.36,4,0.29,0.35,1,0.07,29,2.1,51.72,17.241,0.07,0.36,40,0.07,100,0.29,25,0.14,2.6,52.78,8.96,29.84,3.61,0.87,0,8.96,1.52,1.37,12.58,80.46,2.46,73.53,3.9,88.89,2.89,80,11.86,82.32,0.36,60,14.43,10.24,0.08,0.65,0,0,0,0,0.36,0.8,72.73,0.51,71.43,0.07,100,0.72,0.07,1.66,52.17,,0,0,0,0,1,100
J. Anziani,Sar?yer,Sar?yer,"LCMF, AMF, LDMF",26,700000,2026-06-30,13,1088,2,2.65,2,1.52,11,39.1,France,France,right,176,77,no,4.38,3.06,62.16,1.9,30.43,0.25,0.33,0.08,2.23,2.93,0.66,3,0.25,0,0,1.16,0.17,2,0.17,0.22,0,0,30,2.48,16.67,6.667,0.17,0.99,25,0.5,33.33,0.5,16.67,0.08,1.08,30.77,4.72,28.07,1.74,0.58,0.08,18.86,1.16,0.74,25.56,82.2,6.62,73.75,6.37,96.1,7.03,74.12,22.75,86.91,1.9,52.17,18.65,32.51,0.13,0.99,0.08,0,0.25,66.67,0.25,3.89,74.47,1.57,47.37,0.5,33.33,0.74,0.25,3.89,74.47,,1.24,0.33,0,1.49,0,0
M. Mert,Sar?yer,Sar?yer,RCB,26,200000,2026-06-30,13,1327,0,0.98,0,0.1,10.17,60,Türkiye,Türkiye,right,182,78,yes,8.21,4,67.8,3.53,53.85,0.2,0.28,0.95,5.29,7.29,1.22,3,0.2,0,0,0.07,0,0,0,0.07,0,0,9,0.61,11.11,0,0,0.07,0,0,0,0.07,0,0,0,0,0.88,69.23,1.02,1.02,0,31.94,0.27,0.95,46.19,90.9,18.18,83.58,3.66,98.15,20.08,95.95,42.12,94.69,4,52.54,20.79,42.19,0.01,0.07,0,0,0,0,0,4.61,66.18,0.88,23.08,0.41,66.67,0.2,0,6.04,70.79,,0,0,0,0,0,0
E. Ka?,Çorum FK,Çorum FK,LB,34,100000,,13,1163,0,0.02,0,0.23,14.39,58.6,Türkiye,"Türkiye, Kosovo",left,183,82,no,6.66,4.18,79.63,1.86,33.33,0.15,0.28,0.08,3.17,5.8,0.7,3,0.23,0,0,2.55,0,0,0,0,0,0,1,0.08,0,0,0,2.63,35.29,2.63,35.29,0,0,0.15,2.17,75,6.5,54.76,0.15,2.94,0.23,29.72,1.86,0.62,44.11,84.21,16.41,80.19,6.96,96.67,13.93,84.44,39.47,89.41,2.09,48.15,17.59,31.09,0.02,0.39,0.08,0,0,0,0,5.42,80,2.79,47.22,0,0,0.46,0.77,8.2,83.02,,0,0,0,0.08,0,0
F. Yazgan,Çorum FK,Çorum FK,DMF,33,225000,2027-06-30,13,826,2,1.05,0,0.77,16.56,53.29,Germany,Germany,right,183,79,no,7.63,6.97,62.5,3.6,45.45,0.33,0.57,0.11,2.94,5.16,1.09,1,0.11,0,0,1.09,0.22,2,0.22,0.11,1,0.11,10,1.09,50,20,0,0.87,37.5,0.22,0,0.65,50,0.33,0.44,50,3.38,41.94,1.2,0.76,0,31.49,0.44,1.74,45.22,79.04,16.45,66.89,5.34,89.8,17.54,84.47,37.7,83.82,6.76,58.06,20.9,37.43,0.08,0.76,0,0,0.11,0,0,9.81,60,2.62,58.33,0.87,12.5,1.63,0.33,9.15,67.86,,0.11,0,0,0,0,0
O. Gürbulak,Çorum FK,Çorum FK,"LCMF, RCMF",33,250000,,13,1006,4,2.2,1,1.8,12.44,51.8,Türkiye,Türkiye,right,178,74,no,6.53,5.28,69.49,1.34,53.33,0.09,0.16,0.09,2.77,5,1.16,0,0,0,0,1.97,0.36,4,0.36,0.2,0,0,21,1.88,42.86,19.048,0.09,1.52,29.41,0.45,40,1.07,25,0.09,0.81,55.56,3.67,36.59,2.77,0.98,0,29.97,1.16,0.63,40.53,82.12,13.24,73.65,8.68,93.81,11.99,86.57,35.43,86.36,3.76,61.9,19.13,39.25,0.16,1.43,0,0.09,0.45,60,0.89,6.53,76.71,3.13,42.86,0.63,57.14,1.52,0.27,5.9,75.76,,0.09,0,0,0.89,0,0
J. Attamah,Çorum FK,Çorum FK,RCB,31,500000,,13,1192,0,0.06,0,0.1,6.8,61.11,Ghana,Ghana,right,180,80,no,6.64,2.57,70.59,2.19,55.17,0.23,0.42,0.53,4.61,8.47,0.3,3,0.23,0,0,0.23,0,0,0,0,0,0,2,0.15,0,0,0,0.23,100,0,0,0.23,100,0,0,0,1.06,57.14,0.3,1.51,0.08,40.17,0.76,0.91,59.57,89.48,22.8,79.14,4.08,98.15,28.54,96.3,51.87,94.61,7.47,53.54,21.79,40.37,0.01,0.15,0,0.08,0,0,0.08,7.47,68.69,1.28,58.82,0.38,20,0.68,0.23,10.8,79.02,,0,0,0,0,0,0
B. Samudio,Çorum FK,Çorum FK,RW,29,1000000,2026-06-30,13,910,3,1.51,0,0.32,16.12,54.6,Paraguay,Paraguay,right,181,79,no,4.75,3.86,61.54,5.24,64.15,0.3,0.54,0,2.08,3.77,1.09,2,0.2,0,0,2.27,0.3,3,0.3,0.15,1,0.1,15,1.48,26.67,20,0,2.87,37.93,0.49,20,2.18,40.91,0.4,1.29,61.54,5.84,38.98,2.18,0.89,0,25.71,2.08,1.09,34.71,77.21,8.11,59.76,8.11,90.24,10.88,75.45,29.77,84.05,2.08,33.33,17.24,33.53,0.03,0.3,0.1,0,0.1,0,0.1,3.66,64.86,3.36,35.29,0.2,0,0.4,0.99,5.24,73.58,,0,0,0,0,0,0
