Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
B. Veglio,Wanderers,"RCMF, RW",27,400000,,29,1622,2,2.96,Uruguay,Uruguay,right,164,62,no
F. Silvera,Miramar Misiones,"RW, RAMF, RWB",23,150000,,29,1604,1,0.72,Uruguay,Uruguay,left,172,69,no
L. Acosta,Liverpool,"RCMF, AMF",23,0,,32,1594,5,2.43,Uruguay,Uruguay,right,176,69,no
A. Moreira,Gil Vicente,"RW, RAMF, CF",24,0,2026-12-31,19,1593,3,2.6,Uruguay,Uruguay,right,0,0,yes
B. Cortés,Peñarol,GK,30,3000000,2027-12-31,16,1592,0,0,Chile,Chile,right,186,90,yes
F. Pérez,River Plate U20,"RCB, LCB",22,0,2025-12-31,18,1588,0,0.28,Uruguay,Uruguay,,0,0,no
M. Argüello,Danubio,RB,23,0,2025-12-31,21,1585,0,0.19,Uruguay,Uruguay,right,178,72,no
M. Cáceres,Talleres Córdoba,"RCMF, LCMF",23,0,2028-12-31,18,1580,2,0.64,Argentina,Argentina,right,170,63,no
M. Suárez,Wanderers,"LCMF, AMF, RCMF",21,350000,,25,1569,1,1.03,Uruguay,Uruguay,right,179,70,no
H. Carroso,Progreso,RCB,19,0,,22,1567,0,0.72,Uruguay,Uruguay,,0,0,no
Rómulo Otero,Nacional,"LW, RW, LAMF",33,800000,,29,1565,4,2.45,Venezuela,Venezuela,right,166,70,no
L. Pertusatti,River Plate,RB,24,200000,,18,1543,0,0.04,Uruguay,Uruguay,right,181,0,no
G. Báez,Talleres Córdoba,LB,30,1300000,2025-12-31,18,1541,3,0.94,Argentina,"Argentina, Paraguay",left,178,74,no
P. García,San Martín San Juan,"RW, RAMF, RCMF",26,400000,,21,1517,0,2.12,Uruguay,Uruguay,right,178,66,no
A. Cougo,Progreso,LB,29,300000,2025-12-31,22,1514,1,1.02,Uruguay,Uruguay,left,181,73,no
M. Mir,Liverpool,"RW, RAMF, RCMF",22,0,2028-12-31,26,1501,4,2.75,Spain,"Spain, Uruguay",right,184,76,no
M. Abaldo,Independiente,"CF, LW, RAMF",21,0,2027-12-31,19,1492,3,3.19,Uruguay,"Uruguay, Germany",right,172,60,yes
A. Macelli,Cerro,"RCB, DMF, RCMF",27,0,2025-12-31,15,1488,1,0.92,Argentina,Argentina,right,178,70,no
J. Cabrera,Peñarol,"RAMF, RW",33,700000,,22,1485,4,2.07,Uruguay,Uruguay,right,173,68,no
L. Giossa,San Antonio Bulo Bulo,GK,25,300000,,15,1484,0,0,Uruguay,Uruguay,right,179,72,no
G. Silva,Progreso,"RCMF, LCMF",26,0,2025-12-31,26,1478,1,1.17,Argentina,Argentina,right,173,71,no
T. Correa,River Plate,CF,21,0,2025-12-31,30,1472,1,4.93,Spain,"Spain, Uruguay",,175,75,no
R. Bacchia,Cerro,GK,26,500000,2026-12-31,15,1464,0,0,Uruguay,"Uruguay, Italy",right,185,80,yes
F. Torgnascioli,Torque,GK,35,450000,2025-12-31,15,1458,0,0,Uruguay,"Uruguay, Italy",right,188,78,no
J. da Silva,Wanderers,GK,34,150000,,15,1456,0,0,Uruguay,Uruguay,right,181,74,no
R. Haller,Boston River,RB,25,500000,2026-12-31,23,1447,0,0.11,Uruguay,Uruguay,right,178,79,yes
A. Sosa,Miramar Misiones,"LWB, LB, LW",29,150000,2025-12-31,22,1426,0,0.25,Uruguay,Uruguay,left,177,71,no
V. Gauthier,León,RCB,22,0,2029-06-30,15,1422,2,0.58,Uruguay,Uruguay,right,191,88,no
F. Parada,Cerro Largo,"LCB, RCB",25,200000,,22,1421,0,0.33,Uruguay,Uruguay,left,190,83,no
Diogo de Oliveira,Paysandu,CF,28,500000,,16,1413,5,3.27,Brazil,Brazil,right,194,79,no
G. Pereira,Miramar Misiones,"DMF, LDMF, LCMF",34,150000,,18,1412,0,0.03,Uruguay,Uruguay,right,181,83,no
F. Bregante,Liverpool,LB,21,0,2027-08-30,21,1411,0,0.09,Uruguay,Uruguay,left,179,72,no
R. Chagas,Juventud,"RCMF, RW, RAMF",22,0,2025-12-31,23,1403,3,2.22,Uruguay,Uruguay,right,176,66,no
M. Villa,Atlético Tucumán,"RB, RCB",28,400000,,15,1385,1,0.41,Uruguay,"Uruguay, Italy",right,184,76,no
M. Ocampo,Cerro,"AMF, RW, LW",23,700000,,26,1383,0,1.5,Uruguay,Uruguay,right,180,75,no
M. Cubero,Cerro,GK,31,150000,,15,1377,0,0,Uruguay,Uruguay,right,188,90,no
J. Bosca Fraquelli,Racing,"RCMF, LCMF",20,0,,25,1367,0,0.93,Uruguay,Uruguay,unknown,0,0,no
G. Fratta,Torque,"RCB, LCB",30,500000,,19,1349,2,1.61,Uruguay,Uruguay,right,188,78,no
W. Montoya,Godoy Cruz,"AMF, CF, LAMF",32,300000,,19,1341,5,3.15,Argentina,Argentina,right,173,72,no
R. Rivero,Wanderers,"LWF, RW, LW",29,500000,,19,1335,5,4.77,Uruguay,Uruguay,left,170,69,no
H. Salaberry,Cerro,RCB,38,25000,2025-12-31,16,1330,0,0.52,Uruguay,"Uruguay, Ecuador",right,181,76,no
M. Redín,Plaza Colonia,"RW, RB",22,0,,32,1326,1,1.33,Uruguay,Uruguay,,0,0,no
M. Perg,Danubio,"RCB, LCB, CB",34,200000,,18,1325,0,0.29,Uruguay,Uruguay,right,185,77,no
Nacho Pais,Danubio,"LCMF, DMF, LDMF",25,150000,2027-06-30,14,1321,0,0.67,Argentina,"Argentina, Spain",right,175,61,no
A. Pandiani Quaglia,Miramar Misiones,"LCMF, AMF",25,0,,23,1309,1,0.73,Spain,"Spain, Uruguay",,0,0,no
F. Alonso,Miramar Misiones,"LCB, CB",34,250000,,20,1303,0,0.65,Uruguay,Uruguay,right,186,78,no
N. Queiroz,Wanderers,"LCMF, RCMF",29,300000,,25,1301,2,0.57,Uruguay,Uruguay,right,179,69,no
J. Trindade,Peñarol,"DMF, LDMF, RCMF",32,0,2027-06-30,16,1285,0,0.28,Uruguay,Uruguay,right,176,74,no
L. Umpierrez,Peñarol U20,"LAMF, LCMF, RAMF",21,0,,26,1277,0,0.74,Uruguay,Uruguay,unknown,0,0,no
F. Silvestre,Cerro,"LCMF, DMF, RDMF",24,50000,2025-12-31,20,1269,1,1.55,Uruguay,Uruguay,right,184,80,no
F. Avenatti,Boston River,CF,32,500000,2025-12-31,21,1262,5,4.03,Uruguay,"Uruguay, Italy",left,197,86,no
M. Velázquez,Plaza Colonia,"RCB, LCB",33,200000,,16,1257,1,0.82,Uruguay,Uruguay,right,182,78,no
N. Cabral,Liverpool,LCB,26,250000,,15,1242,0,0.43,Argentina,Argentina,left,188,83,no
C. González,Cerro Largo,"LB, LW, LAMF",26,300000,,19,1240,0,0.49,Uruguay,Uruguay,,0,0,no
M. Copelotti,Progreso,CF,21,0,,22,1236,3,2.96,Uruguay,Uruguay,right,189,0,no
L. López,Lommel SK,"DMF, RCMF, RDMF",20,0,,17,1234,0,0.07,Argentina,Argentina,right,185,0,yes
Léo Coelho,Amazonas,"LCB, RCB",32,800000,2025-12-31,16,1226,0,0.93,Brazil,"Brazil, Uruguay",right,190,86,no
N. González,Unión Comercio,CF,28,300000,,17,1208,3,4.97,Uruguay,Uruguay,right,183,81,no
M. Abero,Cerro,"LB, LCB",35,150000,,13,1201,4,2.83,Uruguay,"Uruguay, Italy",left,184,81,no
L. Monzón,Junior,"CB, LCB",23,800000,,12,1197,1,0.38,Brazil,"Brazil, Uruguay",left,185,78,yes
I. Pintos,Danubio,"RCMF, RB",21,0,,18,1195,0,0.6,Uruguay,Uruguay,right,179,68,no
A. Pérez,Cerro Largo,"LCMF, RCMF, DMF",25,350000,,26,1189,1,1.58,Uruguay,Uruguay,right,181,71,no
D. Núñez,Miramar Misiones,"RCMF, DMF, LCMF",23,0,,21,1180,1,0.84,Uruguay,Uruguay,unknown,182,0,no
J. Recoba,Las Palmas,"LAMF, LW, RW",22,0,2028-06-30,22,1180,4,3.06,Italy,"Italy, Uruguay",right,176,67,no
M. Alonso,San Antonio Bulo Bulo,"LW, RW, RAMF",23,200000,,18,1177,3,2.67,Uruguay,Uruguay,left,179,74,no
L. Lemos,River Plate,"RCMF, DMF, RDMF",25,550000,,17,1164,0,0.17,Uruguay,Uruguay,right,183,75,yes
Matías Arezo,Peñarol,CF,23,7000000,2028-12-31,17,1164,8,5.44,Uruguay,Uruguay,right,180,70,yes
I. Lemmo,Progreso,"LAMF, LW, AMF",35,200000,,14,1163,5,4.51,Uruguay,"Uruguay, Italy",left,171,70,no
N. Fuica,Cerro,"LCB, RCB, RB",21,0,,13,1158,0,0.46,Uruguay,Uruguay,,0,0,no
X. Biscayzacú,Defensor Sporting,"CF, AMF, RW",20,0,2025-12-31,30,1153,4,2.72,Mexico,"Mexico, Uruguay",unknown,164,55,no
G. Martínez,Juventud,LCB,22,0,2026-12-31,14,1152,1,0.38,Colombia,Colombia,right,0,0,no
J. Zeballos,Wanderers,CF,29,250000,,20,1147,2,5.3,Uruguay,Uruguay,right,177,76,no
A. Machado,Defensor Sporting,"CF, LW, LAMF",23,375000,2025-12-31,24,1139,2,2.71,Uruguay,Uruguay,left,179,77,yes
L. Morales,Olimpia,RB,25,400000,,15,1137,1,2.09,Uruguay,Uruguay,right,183,78,yes
F. Muñoa,Boston River,"LCMF, AMF",21,0,2025-12-31,26,1133,2,1.52,Uruguay,Uruguay,,0,0,no
Alex Bruno,Plaza Colonia,CF,26,0,2026-12-31,27,1125,1,2.4,Brazil,Brazil,left,190,83,no
Á. Cayetano,Plaza Colonia,"LCB, CB, RCB",34,250000,,19,1114,0,0.02,Uruguay,Uruguay,right,189,89,no
R. Pérez,Olimpia,"RCMF, LCMF, RDMF",29,475000,2026-12-31,15,1102,0,1.09,Uruguay,"Uruguay, Italy",right,181,74,no
L. Otormín,Juventud,"CF, AMF",29,300000,,19,1097,3,2.76,Uruguay,Uruguay,right,172,70,no
D. Terans,Peñarol,"CF, LAMF, AMF",31,4000000,2026-12-31,22,1090,3,4.56,Uruguay,Uruguay,left,176,71,no
F. Cabrera,River Plate,LB,21,0,,14,1084,0,0.88,Uruguay,Uruguay,,0,0,no
N. da Silva,Torque,CF,20,0,2030-12-31,27,1083,3,6.13,Uruguay,"Uruguay, Brazil",unknown,182,0,no
F. González,Racing,"RB, RWB",20,0,,19,1079,1,1.29,Uruguay,Uruguay,right,0,0,no
F. Peraza,Magallanes,CF,33,0,2026-12-31,19,1078,1,2.09,Uruguay,Uruguay,right,184,78,no
D. Frascarelli,River Plate,GK,40,10000,,11,1076,0,0,Uruguay,"Uruguay, Ecuador",right,182,82,no
S. Sosa,Everton,CF,31,300000,2025-12-31,13,1074,6,5.57,Uruguay,Uruguay,right,186,79,yes
F. López,Progreso,"CF, RAMF, RWF",33,400000,,14,1064,5,2.61,Uruguay,Uruguay,right,172,71,no
M. Brasil,Cerro Largo,RCB,26,1400000,,15,1064,1,1.44,Uruguay,Uruguay,right,180,73,no
A. Ocampo,Plaza Colonia,"RW, LW, CF",28,1200000,,28,1052,2,2.35,Uruguay,Uruguay,left,172,72,yes
J. Fernández,Danubio,"LW, RW, LB",22,0,,24,1040,1,1.59,Uruguay,Uruguay,left,174,66,no
K. Prieto,Casa Pia AC,"RB, RW",22,0,,16,1036,1,0.2,Uruguay,Uruguay,right,184,69,no
G. Gabriel,Wanderers,"LB, LWB",31,250000,,12,1022,0,0.59,Uruguay,Uruguay,left,182,0,yes
J. O'Neill,Boston River,"LB, LWB",24,0,,18,1016,0,0.36,Uruguay,Uruguay,left,169,70,no
J. Gutiérrez,Defensa y Justicia,"CF, LW",23,650000,,15,1010,4,3.96,Uruguay,"Uruguay, Italy",right,177,68,yes
Y. Rodríguez,Racing,"DMF, LCMF, RCMF",32,375000,2025-12-31,18,1009,0,0.2,Uruguay,Uruguay,right,175,72,yes
S. Ramírez,Racing,"AMF, LW, LCMF",27,250000,,20,1001,2,2.36,Uruguay,Uruguay,right,175,0,no
A. Pereira,Racing,"RWB, RB, RCB",24,0,,14,999,4,2.47,Uruguay,Uruguay,right,172,66,no
A. Soría,Al Sadd,"RCMF, RDMF, RW",20,0,2030-06-30,13,994,1,1.3,Uruguay,Uruguay,right,175,66,no
L. Hernández,Peñarol,LB,33,400000,,26,988,3,1.83,Uruguay,Uruguay,left,175,83,no
J. Contrera,Sarmiento,"LW, RW, RWF",22,0,2027-12-31,16,980,1,3.4,Argentina,Argentina,right,0,0,yes
A. González,Boston River,CF,23,300000,2026-12-31,21,980,1,3.23,Uruguay,Uruguay,right,182,73,no
J. Rodríguez,Cagliari,"LCB, LB",20,0,,12,979,0,0.08,Uruguay,Uruguay,left,190,80,no
F. Ginella,Defensor Sporting,"DMF, LCMF, RCMF",26,1000000,,16,977,0,0.27,Uruguay,"Uruguay, Italy",right,182,73,no
A. López,Plaza Colonia,CF,27,100000,,11,974,4,1.22,Argentina,Argentina,right,195,0,no
Diego Abreu,Defensor Sporting,CF,22,0,,29,973,7,6.84,Uruguay,"Uruguay, Italy",right,189,78,no
M. Suárez,Cerro,"RB, LB",29,250000,,11,965,0,0.02,Uruguay,Uruguay,right,182,80,no
J. Rivero,Progreso,"LW, LAMF, RW",26,0,,23,956,1,1.75,Uruguay,Uruguay,left,177,70,no
M. Castro,Liverpool,"RWF, RW, RAMF",30,1500000,,16,954,1,2.38,Uruguay,Uruguay,right,175,73,no
R. Machado,Liverpool,"CF, RW",20,0,,33,949,3,3.87,Uruguay,"Uruguay, Italy",right,177,73,no
K. Parzajuk,Wanderers,CF,23,0,2027-12-31,13,945,0,2.55,Paraguay,"Paraguay, Poland",right,190,0,yes
L. Vázquez,Cerro Largo,"RB, RW",19,0,,12,945,0,0.13,Uruguay,Uruguay,,0,0,no
F. Catarozzi,Liverpool,"RCMF, DMF, RDMF",25,450000,,15,938,1,0.66,Uruguay,Uruguay,left,179,72,no
Ignacio Neira,Cerro,"DMF, RCMF, LCMF",27,325000,,12,928,1,0.45,Uruguay,"Uruguay, Spain",right,182,74,no
M. Paolini,Progreso,"RCB, CB",24,0,,10,927,0,0.41,Uruguay,"Uruguay, Italy",right,190,80,no
F. Medina,Cerro Largo,"RW, RAMF",21,0,2025-12-31,21,927,0,0.76,Argentina,Argentina,,0,0,no
G. López,Boston River,"RW, LAMF, LW",22,0,2025-12-31,22,922,2,1.87,Uruguay,Uruguay,right,176,68,yes
J. Luna,Wanderers,"CF, AMF",20,0,2027-12-31,13,920,0,2.16,Argentina,Argentina,right,0,0,no
G. Petit,Mirandés,CF,19,0,2026-12-31,17,917,6,3.08,Uruguay,Uruguay,right,189,78,yes
G. Ramírez,Miramar Misiones,"RCMF, AMF, CF",34,175000,,20,915,3,1.82,Uruguay,Uruguay,left,178,83,no
N. Leivas,Torque,LB,19,0,,14,914,1,0.9,Uruguay,Uruguay,left,182,0,no
J. Báez,Peñarol,"LW, RAMF, LAMF",30,900000,,19,910,3,2.68,Uruguay,"Uruguay, Italy",right,178,74,no
A. Barco,Emelec,"LCMF, DMF, LDMF",23,300000,,14,899,0,0.43,Peru,Peru,left,185,76,no
G. Viera,Boston River,"RW, RAMF",25,100000,,28,898,2,1.32,Uruguay,Uruguay,right,176,73,no
T. Olmos,River Plate,RB,20,0,2027-12-31,11,897,0,0.04,Argentina,Argentina,right,175,76,yes
N. Rodríguez,Nacional,"RB, LB",34,450000,2025-12-31,15,892,1,0.44,Uruguay,Uruguay,right,183,79,no
S. Camacho,Cerro,"CF, AMF",21,0,,19,874,0,1.21,Uruguay,Uruguay,unknown,0,0,no
F. Sosa,Progreso,"CF, RAMF, RW",30,0,,26,871,1,2.24,Uruguay,Uruguay,right,190,0,no
E. Sosa,Cerro,"RCMF, LDMF",27,350000,2025-12-31,15,866,1,0.27,Uruguay,Uruguay,right,176,76,no
H. Vergara,Plaza Colonia,"RW, CF, RAMF",23,0,2026-12-31,12,854,1,0.99,Uruguay,Uruguay,right,180,71,no
Rodrigo Pollero,River Plate,CF,29,350000,,10,846,5,3.86,Uruguay,Uruguay,right,185,85,no
F. Soldano,Juventud,CF,31,325000,2025-12-31,12,845,0,1.7,Argentina,"Argentina, Italy",right,180,79,no
E. Almeida,Cerro Largo,"CF, LW",20,0,2025-12-31,18,842,2,0.52,Uruguay,Uruguay,left,165,0,yes
T. Rodríguez,Juventud,"RAMF, RW, AMF",29,250000,,24,840,0,0.6,Argentina,"Argentina, Chile",right,184,76,no
Á. Vázquez,Racing,"LCMF, RCMF",23,375000,,12,837,0,0.2,Uruguay,Uruguay,left,175,68,no
V. Adamo,RWD Molenbeek Res,CF,23,0,2026-12-31,17,831,1,3.04,Uruguay,Uruguay,right,193,82,no
S. Paiva,Cerro,"CF, RW, RAMF",26,150000,,10,822,1,0.83,Uruguay,Uruguay,right,180,73,no
R. Cabrera,River Plate,LB,21,0,,12,811,0,0.05,Uruguay,Uruguay,left,178,67,no
P. Nongoy,Juventud,"RW, CF, LW",22,0,,12,803,1,0.55,Uruguay,Uruguay,right,177,80,no
J. Aja,Juventud,"RCB, CB, LCB",32,400000,2025-12-31,15,800,1,0.79,Uruguay,Uruguay,right,191,84,no
A. Severo,Racing U20,"CF, LWF, LW",20,0,,17,799,0,1.37,Uruguay,Uruguay,unknown,167,65,no
I. Manzur,Racing,CF,20,0,,15,791,2,1.27,Argentina,Argentina,,0,0,no
E. Forclaz,Liverpool,"RW, LAMF, LW",22,0,2026-12-31,25,789,0,0.79,Argentina,Argentina,right,175,67,no
I. Suárez,Nacional,GK,23,400000,2025-12-31,9,789,0,0,Uruguay,"Uruguay, Italy",right,184,72,no
E. Márquez,Liverpool,GK,23,0,2025-12-31,9,788,0,0,Uruguay,Uruguay,,0,0,no
D. Herazo,San Lorenzo,CF,29,750000,2026-12-31,14,788,3,3.62,Colombia,Colombia,right,180,81,no
S. Diana,Miramar Misiones,"LCB, LB",35,100000,,9,782,0,0.05,Uruguay,Uruguay,left,182,74,no
L. de los Santos,Defensor Sporting,"DMF, RCMF, RDMF",24,0,2026-12-31,12,778,0,0.04,Uruguay,Uruguay,right,182,80,no
M. Colmán,Progreso,"LCB, RCB, RB",26,0,,10,778,0,0.15,Uruguay,Uruguay,,0,0,no
B. Ferrares,Cerro Largo,"RCB, LCB, RB",25,300000,2025-12-31,11,777,0,0.19,Uruguay,Uruguay,right,180,76,no
N. Lodeiro,Nacional,"LAMF, LW, AMF",36,1200000,2025-12-31,13,776,0,1.08,Uruguay,"Uruguay, United States",left,173,69,no
M. Risso,Danubio,"RCB, LCB",37,50000,,10,774,1,0.67,Uruguay,"Uruguay, Italy",right,193,87,no
H. Silveira,Racing,CF,32,550000,,13,762,1,2.42,Uruguay,Uruguay,right,187,72,no
S. Guerrero,Juventud,CF,25,400000,,10,761,1,1.98,Uruguay,Uruguay,right,172,67,no
M. García,Cerro Largo,"LCMF, DMF",26,250000,,17,759,0,0.15,Uruguay,Uruguay,right,174,0,yes
C. Sención,River Plate,"RCMF, LCMF",29,250000,,9,755,0,0.23,Uruguay,Uruguay,right,181,72,no
I. Rodriguez,Juventud,"LCMF, LW, LWF",24,0,2025-12-31,21,750,1,0.84,Uruguay,Uruguay,unknown,0,0,no
N. Royón,Rampla Juniors,CF,34,225000,,17,734,1,1.36,Uruguay,Uruguay,right,172,66,no
C. Ordóñez,Progreso,"RCB, LCB, CB",23,250000,,9,727,0,0.11,Colombia,Colombia,right,186,79,yes
N. Wunsch,Defensor Sporting,"RCMF, AMF",22,0,2026-12-31,18,716,1,0.63,Uruguay,Uruguay,right,174,59,no
J. Rosso,Liverpool,LCB,28,450000,,8,713,0,0.04,Uruguay,Uruguay,right,178,75,no
P. Calione,Nacional U20,"RCB, LCB",19,0,,11,698,0,0.24,Uruguay,Uruguay,right,186,80,no
B. Hernández,Cerro Largo,"LW, RAMF, RW",21,0,2025-12-31,15,696,0,0.28,Uruguay,Uruguay,,171,0,no
G. Montes,Torque,RCMF,30,1000000,2025-12-31,8,694,0,0.21,Uruguay,"Uruguay, Italy",left,174,74,yes
M. Affonso,Juan Pablo II College,CF,33,150000,,14,692,1,1.54,Uruguay,Uruguay,left,192,75,no
M. Moreira,River Plate,"LB, RB",31,350000,,10,686,0,0,Uruguay,Uruguay,left,173,68,no
L. Camejo,River Plate,LB,19,0,,13,683,0,0.28,Uruguay,Uruguay,,0,0,no
M. Rinaldi,Danubio,LCB,25,0,,7,671,1,0.43,Argentina,Argentina,unknown,0,0,no
E. Crucci,Wanderers,CF,19,0,2026-12-31,14,667,2,1.29,Uruguay,Uruguay,unknown,0,0,no
L. Andrade,Torque,"RW, LW, LAMF",18,0,,17,663,0,0.99,Argentina,Argentina,both,183,0,no
P. López,Progreso,"CF, LW, AMF",29,400000,,20,662,0,0.58,Uruguay,Uruguay,right,169,65,no
D. Bittencourt,Tacuarembó,CF,30,300000,2025-12-31,16,660,1,1.47,Brazil,Brazil,right,182,75,no
M. Pereyra,Nacional,"RCMF, AMF, CF",35,500000,2025-12-31,23,648,0,0.47,Uruguay,"Uruguay, Italy",right,170,63,no
E. Mereles,Nacional,"LW, LAMF, RW",20,0,,16,642,1,0.67,Uruguay,Uruguay,,0,0,no
M. Viera,Rampla Juniors,"LW, LAMF",34,250000,,13,642,1,0.98,Uruguay,Uruguay,left,178,73,no
D. Suárez,Peñarol,RB,37,650000,2025-12-31,12,636,0,0,Uruguay,"Uruguay, Spain",right,173,67,no
E. Gularte,Peñarol,"RCB, LCB, RB",28,3500000,2027-06-30,11,630,1,2.25,Uruguay,Uruguay,right,188,80,yes
D. Villalba,Plaza Colonia,"LCMF, RCMF",26,0,,22,626,0,0.13,Uruguay,Uruguay,right,178,71,no
F. Rodríguez,Boston River,"CF, AMF",30,150000,,21,626,4,0.95,Uruguay,Uruguay,left,180,74,no
F. Barone,Olimpia,CF,19,0,2025-12-31,15,624,3,3.38,Uruguay,Uruguay,right,190,77,no
G. Borthagaray,Wanderers,"LCB, LB",19,0,,7,614,0,0,Uruguay,Uruguay,,0,0,no
M. Boselli,Juventud,"CF, RWF, LAMF",31,125000,,22,613,0,1.68,Uruguay,"Uruguay, Spain",right,172,66,no
A. Castro,Miramar Misiones,"LWB, LB",21,0,2025-12-31,8,603,0,0.29,Uruguay,Uruguay,unknown,0,0,no
G. de Amores,Millonarios,GK,31,500000,2025-12-31,6,596,0,0,Uruguay,"Uruguay, Italy",right,190,76,no
L. Navarro,Defensor Sporting,"CF, AMF",17,0,,12,592,0,3.05,Uruguay,Uruguay,right,183,72,no
Y. Oyarzo Barragán,Racing U20,"LWB, LCMF, LWF",17,0,,13,588,0,0.35,Uruguay,Uruguay,,0,0,no
V. Wurth,Plaza Colonia,RB,18,0,,7,586,0,0.01,Uruguay,Uruguay,,0,0,no
A. Lopez,Plaza Colonia,CF,27,0,,7,585,3,0.68,Argentina,Argentina,,0,0,no
I. López Pose,River Plate,"LCMF, AMF",21,0,,15,584,0,0.2,Italy,Italy,,177,0,no
A. Velazquez,Danubio,"LW, LB",,0,,15,579,0,0.28,Argentina,Argentina,unknown,0,0,no
L. Suárez,Liverpool,"LB, LCB",30,0,2026-12-31,12,579,0,0.5,Argentina,Argentina,left,187,81,yes
A. Silva,La Luz,RB,32,375000,2025-12-31,8,574,0,0,Uruguay,Uruguay,right,174,76,no
T. Viudez,Wanderers,"CF, AMF, RAMF",36,150000,,15,573,0,0.17,Uruguay,Uruguay,right,169,66,no
A. Cambón,Defensor Sporting,CF,20,0,2025-12-31,15,551,1,1.22,Uruguay,Uruguay,right,187,76,no
A. Rodríguez,Miramar Misiones,CF,21,0,,16,542,1,0.93,Uruguay,Uruguay,,174,75,no
L. Pino García,Torque,"RW, RCMF, RAMF",20,0,2029-12-31,15,541,1,0.64,Uruguay,Uruguay,right,181,67,no
G. Pérez,Monagas,"RCMF, RDMF, DMF",26,400000,,7,530,0,0.17,Uruguay,Uruguay,right,177,74,no
E. Cardozo,Danubio,"LCMF, AMF, LWF",24,150000,,12,525,1,0.59,Argentina,"Argentina, Paraguay",right,167,59,yes
G. Oroño,River Plate,"RCMF, RDMF, LCMF",20,0,,13,525,0,0.12,Uruguay,Uruguay,,0,0,no
D. Gissi,River Plate,"RCB, CB",34,100000,,6,520,2,1.17,Switzerland,"Switzerland, Argentina",right,193,86,no
J. Millán,Danubio,"DMF, RDMF",24,0,2025-12-31,7,513,1,1.11,United States,United States,,0,0,no
B. Morales,Cerro,CF,20,0,2025-12-31,12,508,2,1.67,Uruguay,Uruguay,,0,0,no
F. Chiappini,Boston River,"LCMF, LB",22,0,,12,507,1,0.15,Uruguay,Uruguay,,0,0,no
F. Kidd,Progreso,"LB, LW",28,400000,2025-12-31,6,501,0,0.02,Uruguay,Uruguay,left,176,67,no
S. Guzmán,Wanderers,"CF, RWF, LAMF",21,0,2025-12-31,14,497,0,0.33,Uruguay,Uruguay,,177,79,no
J. Rodríguez,Wanderers U20,"CF, AMF, RWB",19,0,2025-12-31,17,493,1,1.47,Uruguay,Uruguay,both,0,0,no
Y. Meité,Plaza Colonia,LCMF,21,0,,9,491,0,0.03,Côte d'Ivoire,Côte d'Ivoire,unknown,0,0,no
K. Larrea,Cerrito,GK,29,125000,,5,490,0,0,Uruguay,Uruguay,right,186,74,no
N. Gómez,Juventud,"LB, LW",25,0,,12,489,1,1.19,Uruguay,Uruguay,unknown,0,0,no
H. Villalba,Peñarol,"CF, RW, RAMF",31,2500000,2025-12-31,16,488,3,1.72,Argentina,"Argentina, Paraguay",left,172,73,no
F. Álvarez,Racing,"LCB, CB",21,0,,9,487,1,1.46,Argentina,Argentina,left,0,0,no
B. Benítez,Llaneros,"RCMF, DMF, LCMF",29,175000,,6,486,0,0.04,Argentina,Argentina,right,175,73,no
F. Suarez,Racing,"LW, LWF, RWF",22,0,,13,484,0,0.46,Uruguay,Uruguay,unknown,0,0,no
D. Cheuquepal,Racing,"LWB, LB",18,0,,10,481,0,0.03,Argentina,Argentina,right,181,0,no
J. Hernández Deleón,Plaza Colonia,LCB,18,0,,8,462,0,0.03,Uruguay,Uruguay,,0,0,no
I. Valenzuela,Cerro,RB,24,25000,2025-12-31,7,459,0,0,Argentina,Argentina,right,181,76,no
E. Olivera,Cerro Largo,"AMF, LCMF",21,0,2025-12-31,10,459,1,1.02,Uruguay,Uruguay,right,0,0,no
M. Rodríguez,Cerrito,"LB, LCB",28,0,,6,455,0,0.04,Uruguay,Uruguay,left,180,74,no
K. Arevalo Diaz,Montevideo City Torque U18,"LWF, LAMF, LW",19,0,,15,454,4,0.94,Uruguay,Uruguay,unknown,0,0,no
G. Carneiro,Nacional,"CF, AMF",30,1400000,2026-12-31,13,453,1,0.54,Uruguay,Uruguay,left,195,85,no
C. Sánchez Mechoso,Miramar Misiones,"RCMF, LCMF",22,0,,9,443,0,0.2,Uruguay,Uruguay,,0,0,no
E. Vargas,Audax Italiano,"CF, LW",35,1000000,,12,440,2,1.52,Chile,Chile,right,174,77,no
E. Fernández,Antigua GFC,"LB, LWB, LW",28,0,,7,421,0,0.04,Uruguay,Uruguay,,0,0,no
V. Sánchez,Danubio,"LW, CF, AMF",23,0,,8,413,1,0.28,Argentina,Argentina,right,173,68,yes
L. Maldonado,Atenas,"RCB, CB",40,10000,,6,412,2,0.58,Uruguay,Uruguay,right,184,78,no
P. Suárez Marquez,Wanderers,"RW, LW, RWF",19,0,,11,412,0,0.24,Uruguay,Uruguay,right,178,73,no
Brandão,Danubio,CF,21,0,2026-12-31,11,408,0,1.43,Brazil,Brazil,right,191,81,yes
M. Pinela Borysiuk,Racing,"CB, LCB",20,0,,10,408,0,0.26,Uruguay,Uruguay,left,185,0,no
F. Barrios,Boston River,"DMF, LCMF, LDMF",23,0,,7,408,0,0.03,Uruguay,Uruguay,right,181,72,no
