Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Adryelson,Al Wasl,Al Wasl,"LCB, RCB",27,4000000,2028-06-30,8,809,2,1.16,0,0,9.23,66.27,Brazil,Brazil,right,182,74,no,6.79,2.67,83.33,4.78,62.79,0.44,0.85,0.11,4.12,7.87,0.89,1,0.11,0,0,0.44,0.22,2,0.22,0.13,2,0.22,6,0.67,66.67,33.333,0,0.11,0,0.11,0,0,0,0,0.11,0,0.44,25,1.45,0.67,0,38.94,0.67,0.22,53.4,93.75,17.35,88.46,1.67,93.33,29.7,97,49.73,95.97,3.56,65.63,20.85,29.58,0,0,0,0,0,0,0,4.67,78.57,0.11,100,0,0,0.11,0,6.01,81.48,0,,0,,0,0,0,0,,,0.67,,,0,0,0,0,0,0
M. Coulibaly,Al Jazira,Al Jazira,"RCMF, RDMF, LDMF",22,0,2027-06-30,8,808,1,0.91,2,0.67,12.92,46.55,Côte d'Ivoire,Côte d'Ivoire,unknown,0,0,no,6.01,5.01,57.78,1.34,33.33,0.11,0.2,0,3.01,5.44,1.11,1,0.11,0,0,1.89,0.11,1,0.11,0.1,0,0,7,0.78,28.57,14.286,0.22,1.34,41.67,0.33,33.33,1,44.44,0.22,1,66.67,4.68,35.71,1.23,0.67,0.11,28.07,1.11,0.56,38.32,81.4,14.03,69.84,4.9,95.45,14.59,86.26,32.19,86.85,4.79,55.81,20.18,40.39,0.08,0.56,0.22,0,0.56,80,0.56,7.69,66.67,2.9,57.69,1.11,40,0.89,0.45,7.8,71.43,0,,0,,0,0,0,0,,,0.11,,,0.11,0,0,0,0,0
Carlinhos,Dibba Al Fujairah,Dibba Al Fujairah,"LCMF, RCMF",31,1200000,2026-06-30,8,805,1,0.39,1,1.52,11.74,57.14,Brazil,Brazil,right,179,74,yes,5.14,3.8,61.76,1.01,66.67,0.11,0.16,0.22,2.68,3.83,0.45,1,0.11,0,0,1.9,0.11,1,0.11,0.04,0,0,11,1.23,45.45,9.091,0.11,0.56,20,0.22,0,0.34,33.33,0,1.34,83.33,5.37,50,0.22,1.45,0,29.07,0.22,1.34,39.02,84.53,14.31,77.34,5.7,98.04,15.32,89.78,31.75,88.03,6.93,70.97,21.27,38.05,0.17,1.68,0.11,0,0.11,100,0.34,8.83,72.15,1.45,46.15,0.67,50,0.78,0.11,8.39,82.67,0,,0,,0,0,0,0,,,0.67,,,1.57,0.11,0,2.01,0,0
A. Alsayed,Al Dhafra,Al Dhafra,GK,35,0,,8,805,0,0,0,0,1.34,75,Syria,Syria,unknown,0,0,no,1.23,0.11,100,1.01,77.78,0,0,0,1.12,1.49,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,100,0,0,0,10.73,0.22,0.22,16.99,84.21,9.28,73.49,0,0,6.93,96.77,10.4,97.85,6.6,62.71,33.17,53.23,0,0,0,0,0,0,0,2.24,35,0.34,0,0.22,0,0,0,4.14,78.38,14,1.57,35,3.91,1,60,10.45,1.17,-3.55,-0.397,0,2.35,1.01,,,,0,0,0
Zayed Sultan,Al Nasr,Al Nasr,RB,24,1500000,,8,802,0,0.03,1,0.49,13.58,47.11,United Arab Emirates,United Arab Emirates,right,175,71,no,7.41,7.07,58.73,1.8,6.25,0,0,0.67,3.25,5,1.35,1,0.11,0,0,0.79,0,0,0,0,0,0,2,0.22,0,0,0.11,1.01,33.33,0,0,1.01,33.33,0.22,1.12,40,3.25,41.38,0.34,0.67,0.11,19.98,0.45,1.12,26.26,85.04,11,76.53,4.38,100,6.4,92.98,23.57,89.52,1.68,53.33,16.31,23.74,0.06,0.22,0,0,0,0,0.11,3.59,84.38,0.9,50,0,0,0.11,0.34,5.05,71.11,0,,0,,0,0,0,0,,,0.22,,,0.45,0,0,0,0,0
Kaku,Al Ain,Al Ain,"RCMF, CF, RW",30,0,,8,801,3,0.69,4,3.3,6.63,40.68,Paraguay,"Paraguay, Argentina",unknown,171,0,no,2.25,2.92,46.15,0.34,0,0.11,0.18,0,0.79,1.27,0.9,1,0.11,0,0,3.37,0.34,3,0.34,0.08,0,0,12,1.35,41.67,25,0.45,3.82,67.65,2.47,68.18,1.24,63.64,0.79,0.34,33.33,2.13,31.58,2.58,1.46,0.22,27.75,1.24,0.45,35.39,78.41,10.11,64.44,5.17,93.48,13.15,83.76,28.2,82.07,3.6,62.5,18.39,34.59,0.37,2.7,0.34,0.11,0.22,50,1.24,6.18,61.82,5.17,71.74,0.34,66.67,2.13,2.36,7.75,88.41,0,,0,,0,0,0,0,,,0.11,,,1.12,0.22,50,2.13,0,0
Gustavo Alemão,Al Nasr,Al Nasr,RCB,25,850000,2029-06-30,8,801,1,0.74,0,0,6.85,57.38,Brazil,Brazil,right,186,0,no,5.73,2.81,56,2.58,60.87,0,0,1.35,4.16,6.34,0.56,2,0.22,0,0,0.22,0.11,1,0.11,0.08,1,0.11,6,0.67,16.67,16.667,0,0.11,0,0,0,0.11,0,0,0.11,100,0.79,57.14,0.67,0.34,0,31.91,0.45,0.45,46.07,83.9,20.79,72.43,2.81,92,17.98,94.38,38.31,91.2,7.64,48.53,22.96,41.07,0,0,0,0,0,0,0,7.64,61.76,1.24,18.18,0.79,14.29,0.11,0,8.99,77.5,0,,0,,0,0,0,0,,,1.46,,,0,0,0,0,0,0
A. Zouhir,Al Wahda,Al Wahda,"RB, RCB",25,2500000,2026-06-30,8,799,0,0.14,1,0.75,13.85,60.98,Tunisia,Tunisia,right,190,0,no,8.22,6.42,71.93,2.82,60,0,0,0.11,3.6,5.58,0.56,1,0.11,0,0,1.69,0,0,0,0.02,0,0,4,0.45,25,0,0.11,2.03,33.33,0,0,2.03,33.33,0.23,1.24,72.73,3.6,43.75,1.13,1.8,0.11,27.03,0.9,0.79,38.52,81.58,14.87,75,4.17,97.3,14.53,85.27,32.44,89.58,4.17,43.24,20.46,37.5,0.08,0.9,0,0,0,0,0.68,5.52,63.27,2.82,40,0.79,42.86,0.79,0.56,8.11,79.17,0,,0,,0,0,0,0,,,0.9,,,0,0,0,0,0,0
Fahad Al Dhanhani,Bani Yas,Bani Yas,GK,34,300000,2027-06-30,8,796,0,0,0,0,0.45,100,United Arab Emirates,United Arab Emirates,,175,65,no,1.7,0.11,100,0.11,100,0.11,0.14,0,1.47,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,100,0,0,0,9.84,0.11,0.34,17.53,86.45,10.52,81.72,0,0,6.11,96.3,11.08,97.96,6.44,66.67,30.47,47.61,0,0,0,0,0,0,0,0.9,62.5,0.11,0,0,0,0,0,5.09,71.11,16,1.81,45,5.09,0,64.44,17.04,1.93,1.04,0.118,0,1.47,0.11,,,,0,0,0
Khalid Eisa,Al Ain,Al Ain,GK,36,400000,,8,795,0,0,0,0,0.57,100,United Arab Emirates,United Arab Emirates,right,178,74,no,0.68,0,0,0.57,100,0,0,0,0.68,1.09,0,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.42,0.23,0.11,15.06,78.2,9.06,65,0,0,5.43,97.92,8.72,100,6.34,48.21,32.38,49.45,0,0,0,0,0,0,0,2.38,47.62,0.34,0,0.34,33.33,0,0,4.3,57.89,5,0.57,21,2.38,4,76.19,6.93,0.78,1.93,0.218,0,1.25,0.57,,,,0,0,0
