Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Julen Lobete,Málaga,Málaga,"LW, LAMF",25,1500000,2027-06-30,13,651,1,1.77,3,1.18,26.68,38.34,Spain,Spain,right,177,78,no,5.12,5.39,56.41,3.32,25,0.14,0.21,0.14,1.94,2.98,1.38,0,0,0,0,4.01,0.14,1,0.14,0.24,0,0,15,2.07,53.33,6.667,0.41,1.94,21.43,1.52,18.18,0.41,33.33,0.14,5.53,45,15.21,38.18,4.56,2.76,0.41,15.07,1.11,2.35,21.98,76.73,4.15,60,6.22,88.89,5.67,73.17,19.22,84.17,1.11,25,14.52,17.48,0.16,0.83,0,0,0,0,0.69,1.24,55.56,2.07,60,0.14,100,1.24,0.41,2.76,60,,0,0,0,0,0,0
Alfonso Herrero,Málaga,Málaga,GK,31,400000,2026-06-30,13,1294,0,0,0,0,0.49,42.86,Spain,Spain,right,183,83,no,0.7,0.07,0,0.21,66.67,0.07,0.1,0,0.63,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.05,0.56,0.21,20.73,84.23,11.2,71.43,0,0,8.83,99.21,11.75,99.41,8.97,64.34,33.72,51.23,0,0,0,0,0,0,0,2.43,60,0,0,0.07,0,0,0,6.68,78.13,0.21,,,,0,0,0
M. Kim,FC Andorra,FC Andorra,"LAMF, LWF, CF",19,0,,13,1120,3,2.99,3,1.27,19.61,36.07,Korea Republic,Korea Republic,right,177,0,yes,3.62,3.7,47.83,0.88,9.09,0.08,0.12,0,1.77,2.72,1.13,4,0.32,0,0,3.86,0.24,3,0.24,0.24,0,0,30,2.41,43.33,10,0.24,0.8,30,0.64,37.5,0.16,0,0.16,5.22,47.69,12.78,36.48,2.89,3.86,0.56,22.34,2.01,1.93,25.96,82.97,5.79,72.22,6.75,86.9,7.55,84.04,24.59,84.97,0.64,62.5,15.22,18.7,0.1,0.8,0,0,0.16,50,0.48,1.69,85.71,1.93,50,0.08,0,0.8,0.24,2.73,76.47,,0.08,0,0,0.64,0,0
Marc Domènech,FC Andorra,FC Andorra,"AMF, RCMF, LCMF",23,0,2028-06-30,13,705,1,0.61,2,1.17,17.87,41.43,Spain,Spain,left,0,0,no,6,6.89,42.59,2.04,43.75,1.02,1.53,0.13,2.04,3.06,2.55,1,0.13,0,0,1.91,0.13,1,0.13,0.08,0,0,8,1.02,50,12.5,0.26,0.38,33.33,0.26,0,0.13,100,0,1.79,57.14,6.26,38.78,0.64,1.53,0.38,25.53,0.26,0.89,35.36,91.34,5.87,80.43,10.21,95,12.89,93.07,33.45,92.75,1.53,75,17.48,25.93,0.15,0.64,0,0,0.26,100,0.51,4.09,87.5,1.15,66.67,0.51,75,0.77,0.13,3.19,80,,0.13,0,0,0.26,0,0
Aingeru Olabarrieta,FC Andorra,FC Andorra,"RAMF, RWF, RW",19,0,2029-06-30,13,913,1,1.02,0,0.46,18.04,46.45,Spain,Spain,left,182,65,no,3.06,3.06,54.84,0.59,66.67,0.2,0.33,0,1.18,1.96,0.89,2,0.2,0,0,5.52,0.1,1,0.1,0.1,0,0,24,2.37,29.17,4.167,0,3.15,18.75,0.2,50,2.96,16.67,0.1,7.29,58.11,13.21,46.27,0.89,2.96,0.39,17.15,1.48,1.77,21.98,78.48,4.14,88.1,4.04,95.12,9.36,70.53,17.65,89.39,1.18,75,20.39,31.48,0.05,0.59,0.2,0,0,0,0.2,1.68,76.47,3.65,48.65,0.2,100,0.89,0.69,4.14,78.57,,0.1,0.1,0,0.79,0,0
Dani Villahermosa,FC Andorra,FC Andorra,"LCMF, RDMF, LDMF",24,300000,,13,921,4,1.44,2,1.35,15.15,43.87,Spain,Spain,right,174,65,no,8.11,7.13,63.01,1.47,6.67,0.39,0.65,0.1,3.22,5.32,1.95,1,0.1,0,0,1.66,0.39,4,0.39,0.14,0,0,12,1.17,33.33,33.333,0.2,1.56,43.75,0.98,50,0.59,33.33,0.49,1.27,30.77,4.79,32.65,1.86,2.05,0.2,29.22,0.59,0.68,44.07,84.26,16.42,76.79,7.62,97.44,10.16,91.35,40.26,87.38,2.25,56.52,15.93,26.4,0.13,1.47,0,0,0.2,100,0.78,6.45,83.33,2.74,64.29,0.59,66.67,1.37,0.78,8.11,75.9,,0,0,0,0.2,0,0
L. de León,FC Andorra,FC Andorra,CF,24,300000,,13,778,2,2.37,0,1.36,17.58,36.18,Uruguay,"Uruguay, Spain",right,185,80,no,2.54,1.85,50,3.12,37.04,0,0,0,1.62,2.69,0.81,1,0.12,0,0,1.04,0.23,1,0.12,0.27,0,0,9,1.04,55.56,22.222,0,0,0,0,0,0,0,0,1.39,33.33,8.79,30.26,2.08,0.93,0.23,7.52,0.58,2.31,12.84,84.68,1.74,66.67,3.82,96.97,3.93,91.18,12.72,84.55,0.12,100,14.19,2.42,0.16,0.69,0,0,0,0,0.46,0.69,83.33,0.58,80,0.12,100,0.81,0,0.81,85.71,,0,0,0,0,1,100
Sergio Molina,FC Andorra,FC Andorra,"DMF, LDMF",29,700000,,13,1212,0,0.44,2,0.91,10.77,50.34,Spain,Spain,right,178,70,no,8.32,5.72,58.44,1.86,32,0.07,0.12,0.52,4.9,7.7,0.89,3,0.22,0,0,0.74,0,0,0,0.03,0,0,10,0.74,40,0,0.15,0.3,75,0.15,50,0.15,100,0.07,0.3,50,1.26,47.06,0.3,1.11,0.07,34.38,0.15,0.67,47.38,89.81,11.51,85.16,5.64,92.11,22.2,94.65,44.33,90.79,2.75,75.68,17.59,36.54,0.07,0.67,0,0,0.07,100,0.15,5.87,81.01,0.67,66.67,0.22,66.67,0.15,0.22,6.91,76.34,,0.52,0.3,0,1.26,0,0
K. Medina,Córdoba,Córdoba,"LAMF, LW, LWF",24,0,,13,574,1,2.31,0,0.12,23.36,38.93,Spain,Spain,both,173,69,no,4.55,5.96,44.74,1.25,0,0,0,0,1.88,3.43,1.72,4,0.63,0,0,6.27,0.16,1,0.16,0.36,0,0,15,2.35,46.67,6.667,0,3.14,65,2.51,56.25,0.63,100,0.47,7.06,44.44,13.95,41.57,2.51,1.88,0.31,9.88,1.1,2.35,15.37,62.24,4.23,55.56,2.67,82.35,5.8,64.86,10.66,66.18,1.88,41.67,19.83,22.17,0.02,0.16,0.16,0,0,0,0.31,1.25,50,2.67,64.71,0.16,0,0.47,1.88,3.61,69.57,,0,0,0,0.31,0,0
Isma Ruiz,Córdoba,Córdoba,"DMF, LDMF, LCMF",24,300000,2026-06-30,13,1309,0,0.38,1,0.23,15.19,59.73,Spain,Spain,right,180,67,no,8.53,7.15,71.15,1.99,44.83,0.28,0.48,0.21,3.16,5.56,0.89,1,0.07,0,0,0.62,0,0,0,0.03,0,0,8,0.55,12.5,0,0.07,0.07,0,0.07,0,0,0,0,0.89,61.54,4.06,54.24,0.21,0.83,0.07,20.9,0.14,1.79,32.31,85.74,10.93,74.21,3.85,92.86,12.93,92.55,29.91,87.36,2.34,67.65,17.73,31.44,0.02,0.41,0,0,0.07,0,0.07,5.91,77.91,0.69,60,0.28,0,0.41,0,4.61,71.64,,0,0,0,0,0,0
