Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
K. Kvaratskhelia,PSG,PSG,"LWF, RWF, CF",24,80000000,2027-06-30,10,545,1,1.15,2,0.95,23.78,45.14,Georgia,Georgia,right,183,70,no,5.61,5.28,59.38,1.32,37.5,0.33,0.69,0.33,2.15,4.48,0.99,1,0.17,0,0,6.44,0.17,1,0.17,0.19,0,0,17,2.81,41.18,5.882,0.33,2.97,55.56,1.82,72.73,0.99,33.33,0.66,6.94,52.38,15.69,43.16,6.11,4.62,0.5,48.55,3.3,1.82,53.01,86.29,8.75,64.15,20.64,96,13.21,88.75,48.55,89.12,1.65,60,15.94,17.87,0.16,1.16,0,0.33,0.33,0,0.83,1.98,50,3.8,73.91,0.5,33.33,2.64,1.16,3.63,68.18,,0.17,0.17,0,1.49,0,0
A. Hakimi,PSG,PSG,RB,27,60000000,2029-06-30,9,730,2,1.06,0,0.51,12.08,41.84,Spain,"Spain, Morocco",right,181,73,no,4.19,4.19,55.88,0.62,40,0,0,0,1.85,3.78,0.74,2,0.25,0,0,2.22,0.25,2,0.25,0.13,0,0,10,1.23,40,20,0,2.84,30.43,0,0,2.84,30.43,0,2.1,41.18,5.92,37.5,2.22,1.73,0.37,68.92,4.07,0.99,79.64,91.02,14.79,93.33,20.71,93.45,21.7,87.5,75.08,93.76,2.22,77.78,14.94,37.63,0.06,0.74,0.12,0,0,0,0.25,6.04,87.76,2.34,47.37,0.12,100,1.6,0.25,6.53,73.58,,0.12,0.12,0,0,0,0
B. Barcola,PSG,PSG,"LWF, RWF",23,50000000,2028-06-30,10,680,4,3.18,0,0.39,15.22,38.26,France,"France, Togo",right,182,73,no,2.65,3.31,52,1.72,30.77,0,0,0,0.93,1.88,1.19,2,0.26,0,0,3.97,0.53,4,0.53,0.42,0,0,22,2.91,50,18.182,0,1.19,44.44,1.06,50,0.13,0,0.13,4.9,40.54,8.87,34.33,5.43,3.04,0.79,37.46,4.5,0.66,38.25,85.81,5.69,74.42,10.06,89.47,10.85,93.9,36.13,87.18,0.93,85.71,14.67,18.16,0.05,1.06,0.26,0,0.13,0,0.53,1.59,91.67,3.57,66.67,0.26,50,3.44,0.53,4.24,87.5,,0,0,0,0,0,0
Gonçalo Ramos,PSG,PSG,CF,24,50000000,2028-06-30,12,706,2,4.52,0,0.31,10.71,42.86,Portugal,Portugal,right,185,79,no,2.93,2.29,50,2.93,39.13,0.25,0.48,0,1.53,2.86,0.76,1,0.13,0,0,2.04,0.25,1,0.13,0.58,1,0.13,22,2.8,54.55,9.091,0,0.13,0,0,0,0.13,0,0.13,1.15,44.44,4.21,39.39,4.46,0.38,0,16.06,1.02,1.15,17.34,82.35,1.91,80,5.99,85.11,4.33,85.29,16.83,82.58,0.38,100,13.03,6.53,0.04,0.64,0,0,0,0,0,0.64,80,0.25,50,0,0,0.51,0,1.02,50,,0,0,0,0,1,100
Marquinhos,PSG,PSG,"RCB, LCB",31,50000000,2028-06-30,5,349,0,0,0,0.02,6.96,62.96,Brazil,"Brazil, Portugal",right,183,75,no,5.67,2.58,80,2.84,63.64,0,0,0,3.61,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0.26,0,0,0,0,0.26,0,0.52,1.29,0,67.31,1.55,0,80.2,95.82,25.01,89.69,3.61,100,42.55,98.18,75.56,98.29,4.38,58.82,18.45,45,0.01,0.26,0,0,0,0,0,13.67,86.79,0.77,0,0.52,0,0.26,0,7.74,90,,0,0,0,0,0,0
L. Hernández,PSG,PSG,LB,29,40000000,2028-06-30,7,606,0,0.11,0,0.04,8.76,45.76,France,"France, Spain",left,184,79,no,5.64,4.01,40.74,1.93,69.23,0.3,0.55,0.74,3.71,6.82,1.49,2,0.3,0,0,0.3,0,0,0,0.02,0,0,3,0.45,33.33,0,0,0.59,0,0.59,0,0,0,0,0.15,100,1.04,57.14,0.45,1.19,0.3,64.16,1.49,0.89,76.04,92.77,30,90.1,6.24,100,26.44,95.51,71.44,96.26,4.16,42.86,17.25,39.31,0.01,0.45,0,0.15,0,0,0.15,9.36,79.37,0.59,50,0,0,0.15,0,8.32,80.36,,0,0,0,0,0,0
A. Rabiot,Milan,Olympique Marseille,AMF,30,35000000,,1,103,0,0.05,0,0.47,9.61,54.55,France,France,left,188,80,no,3.5,3.5,50,0,0,0,0,0,1.75,3.53,1.75,1,0.87,0,0,4.37,0,0,0,0.04,0,0,1,0.87,0,0,0,6.99,37.5,3.5,25,3.5,50,3.5,2.62,66.67,5.24,66.67,6.12,1.75,0,36.7,1.75,0.87,43.69,84,6.99,100,11.36,84.62,9.61,63.64,35.83,92.68,0.87,100,14.91,48.98,0.41,2.62,0,0,0,0,0.87,2.62,100,5.24,50,0,0,0,2.62,2.62,100,,0,0,0,0,0,0
W. Pacho,PSG,PSG,"LCB, LB",24,35000000,2029-06-30,8,613,0,0.13,0,0.11,9.4,64.06,Ecuador,Ecuador,left,188,81,no,8.37,4.4,76.67,2.5,58.82,0,0,0.44,4.99,10.2,0.29,0,0,0,0,0,0,0,0,0.02,0,0,2,0.29,0,0,0,0.15,0,0.15,0,0,0,0,0,0,1.47,40,0.29,0.15,0,64.16,0.73,0.44,77.37,96.02,21.44,87.67,3.38,100,40.96,99.64,75.17,96.88,2.06,71.43,17.02,31.44,0.02,0.29,0.15,0,0,0,0,5.73,89.74,0.73,40,0.29,50,0.29,0,5.43,81.08,,0,0,0,0,0,0
Fabián Ruiz,PSG,PSG,LCMF,29,35000000,2027-06-30,7,496,1,0.6,1,0.74,4.9,44.44,Spain,Spain,left,189,70,no,4.17,2,36.36,0.18,100,0,0,0,3.45,7.22,0,0,0,0,0,1.27,0.18,1,0.18,0.11,0,0,6,1.09,16.67,16.667,0.18,1.63,44.44,1.45,37.5,0.18,100,0.36,0.18,100,2,45.45,2.72,1.63,0.18,79.11,0.73,0.18,88.91,91.02,29.76,86.59,12.88,95.77,30.85,92.94,81.47,94.43,5.81,56.25,16.5,35.55,0.13,0.91,0,0,0.18,100,0.54,13.43,86.49,4.17,56.52,0.91,40,2,0.73,11.61,89.06,,0,0,0,0,0,0
A. Golovin,Monaco,Monaco,"LAMF, LCMF",29,30000000,2029-06-30,7,475,2,1.4,0,0.28,17.05,48.89,Russia,Russia,right,178,69,no,7.77,6.44,58.82,0.95,40,0.19,0.27,0.19,3.79,5.36,1.89,1,0.19,0,0,2.08,0.38,2,0.38,0.27,0,0,8,1.52,37.5,25,0,1.33,0,0.38,0,0.95,0,0,2.65,57.14,7.77,41.46,2.46,1.14,0.38,26.91,0.57,1.14,38.46,78.33,9.85,69.23,8.53,95.56,10.42,81.82,34.48,82.42,2.65,64.29,16.37,20.58,0.05,0.57,0.19,0,0.19,0,0.19,3.03,75,2.08,36.36,0.76,75,1.52,0,6.25,51.52,,0,0,0,0.38,0,0
