Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Y. Klymchuk,Kolos Kovalivka,Kolos Kovalivka,CF,28,900000,,12,720,5,3.49,1,0.84,14.63,33.33,Ukraine,Ukraine,right,178,69,no,2.38,2.88,43.48,3.88,45.16,0,0,0,1.13,1.61,0.88,0,0,0,0,1.38,0.63,5,0.63,0.44,1,0.13,16,2,56.25,31.25,0.13,0.38,33.33,0,0,0.38,33.33,0,0.63,20,5.38,25.58,3.63,0.63,0.13,6.88,1.62,0.63,10.63,72.94,2.5,65,3.38,85.19,2.63,71.43,10.25,74.39,0,0,13.04,0,0.1,0.5,0,0,0,0,0.5,0.75,50,0.88,28.57,0,0,0.88,0.13,0.63,100,,0,0,0,0,0,0
A. Ponedelnik,Kolos Kovalivka,Kolos Kovalivka,RB,28,900000,,12,1025,0,0.43,1,1.55,12.91,62.59,Ukraine,Ukraine,right,181,77,no,8.25,4.92,73.21,3.51,60,0.18,0.24,0.18,4.48,6.24,0.79,1,0.09,0,0,1.49,0,0,0,0.04,0,0,12,1.05,41.67,0,0.09,1.93,31.82,0.09,0,1.76,35,0.35,0.7,62.5,2.46,57.14,1.84,0.88,0,27.48,1.67,1.32,38.46,84.25,19.58,80.27,5.97,97.06,8.43,90.63,32.84,90.91,3.69,52.38,17.51,35.16,0.14,0.7,0,0,0,0,0.44,5.97,76.47,2.02,60.87,0.44,40,1.14,0.61,7.9,73.33,,0,0,0,0,0,0
A. Slesar,Zorya,Zorya,"RW, LW, RWF",20,0,2027-06-30,12,1053,2,2.38,2,1.35,18.55,44.24,Ukraine,Ukraine,right,181,66,no,5.13,4.19,61.22,3.42,55,0,0,0,2.56,3.52,0.85,3,0.26,0,0,3.76,0.17,2,0.17,0.2,0,0,19,1.62,47.37,10.526,0.17,3.25,28.95,1.11,30.77,2.05,29.17,0.26,3.68,55.81,8.46,33.33,3.68,2.39,0.51,18.03,2.74,1.03,22.39,70.61,4.27,54,5.9,92.75,7.44,71.26,18.55,78.8,0.85,30,16.78,24.13,0.12,1.62,0,0,0,0,0.77,0.68,50,2.56,53.33,0.09,0,0.85,1.28,3.59,52.38,,0.09,0,0,0.43,0,0
P. Budkivskyi,Zorya,Zorya,CF,33,500000,2026-06-30,12,1033,6,3.1,0,0.52,15.94,44.81,Ukraine,Ukraine,right,196,87,no,3.31,1.74,65,5.84,58.21,0.26,0.37,0.26,1.92,2.7,1.22,3,0.26,0,0,1.57,0.52,6,0.52,0.27,3,0.26,20,1.74,65,30,0,0.44,60,0.09,100,0.35,50,0.17,0.52,33.33,5.05,22.41,3.75,0.09,0,11.41,1.39,1.57,16.9,77.32,2.61,56.67,4.79,89.09,5.05,77.59,15.6,77.65,0.87,80,12.85,19.06,0.05,0.52,0,0.09,0,0,0.17,1.22,78.57,0.96,54.55,0.09,100,0.52,0.26,1.74,70,,0,0,0,0,0,0
Juninho,Zorya,Zorya,"LB, RB",29,500000,2026-12-31,12,1117,0,0.21,3,1.38,17.4,52.78,Brazil,Brazil,left,175,67,no,9.02,7.01,60.92,2.26,42.86,0.56,0.77,0.32,4.19,5.71,0.73,2,0.16,0,0,1.69,0,0,0,0.02,0,0,5,0.4,20,0,0.24,1.77,27.27,1.45,27.78,0.32,25,0.32,1.53,68.42,6.04,49.33,0.64,0.89,0.08,22.24,1.61,2.09,33.28,78.21,12.17,68.21,4.59,89.47,9.99,86.29,27.39,85,4.19,53.85,19.21,36.41,0.11,0.48,0,0.08,0.24,33.33,0.24,4.51,60.71,1.77,40.91,0.4,20,0.48,0.56,6.53,62.96,,0.24,0,0,0.08,0,0
Jordan,Zorya,Zorya,RCB,26,800000,2026-06-30,12,1076,1,0.2,0,0.08,12.63,60.26,Brazil,Brazil,right,190,81,no,9.03,4.77,71.93,4.35,53.85,0.08,0.12,1.17,5.52,7.67,0.59,0,0,0,0,0.17,0.08,1,0.08,0.02,1,0.08,3,0.25,33.33,33.333,0,0.25,33.33,0,0,0.25,33.33,0,0.17,0,1.76,23.81,0.5,0.33,0,33.62,0.67,0.25,49.85,85.23,23.34,76.34,2.43,96.55,20.66,93.52,42.57,90.77,7.03,53.57,22.43,40.16,0.01,0.17,0,0,0,0,0.17,7.03,65.48,0.84,40,0.33,50,0.17,0.08,10.37,75.81,,0,0,0,0,0,0
G. Mendoza,Kryvbas KR,Kryvbas KR,"LW, LAMF, LWF",23,0,2025-12-31,12,1141,5,2.27,5,2.68,20.04,37.8,Venezuela,Venezuela,right,184,77,yes,3.87,3.08,43.59,2.68,41.18,0.24,0.33,0,2.29,3.22,0.95,2,0.16,0,0,4.89,0.39,5,0.39,0.18,0,0,28,2.21,39.29,17.857,0.39,3.79,31.25,3.31,30.95,0.39,40,0.79,6.07,44.16,11.6,34.69,2.52,2.92,0.55,17.35,2.21,1.81,23.19,66.67,5.44,49.28,3.63,86.96,10.02,68.5,16.49,75.12,2.92,64.86,21.23,37.54,0.21,1.58,0,0.16,0.24,66.67,0.71,3.31,54.76,4.18,30.19,0.47,33.33,0.71,1.18,4.34,76.36,,0.87,0.32,25,1.42,0,0
B. Konaté,Kryvbas KR,Kryvbas KR,RCB,22,0,,12,1176,0,0.16,0,0,10.64,52.52,Mali,Mali,right,0,0,no,8.95,4.13,70.37,3.21,42.86,0.84,1.2,0.69,5.2,7.39,0.69,2,0.15,0,0,0.15,0,0,0,0.01,0,0,2,0.15,0,0,0,0,0,0,0,0,0,0,0.46,33.33,1.22,31.25,0.38,0.23,0,21.2,0.54,0.23,34.44,85.78,14.39,75.53,2.45,93.75,14.92,95.38,30.08,90.59,4.36,52.63,22.42,37.15,0,0,0,0,0,0,0,2.91,60.53,0.08,0,0.15,100,0,0,6.35,57.83,,0,0,0,0,0,0
C. Paraco,Kryvbas KR,Kryvbas KR,CF,22,0,2030-06-30,12,908,4,2.1,0,0.6,16.45,21.08,Venezuela,Venezuela,right,175,67,no,2.38,2.48,48,4.26,2.33,0,0,0.1,1.19,1.69,1.29,2,0.2,0,0,1.59,0.4,4,0.4,0.21,0,0,14,1.39,64.29,28.571,0,0.79,25,0.2,50,0.4,25,0.1,0.99,50,6.24,23.81,3.37,0.4,0,6.44,1.39,0.59,8.72,71.59,1.49,66.67,2.48,76,2.38,87.5,7.93,76.25,0,0,13.25,0,0.06,0.1,0,0,0,0,0,0.59,66.67,0.69,57.14,0,0,0.69,0.3,0.99,90,,0,0,0,0,0,0
I. Krasnopir,Karpaty,Karpaty,CF,22,0,2029-06-30,12,813,3,3.42,1,1.46,17.16,33.55,Ukraine,Ukraine,right,187,74,no,2.44,2.77,52,5.31,31.25,0,0,0.11,1,1.53,2.21,3,0.33,0,0,2.44,0.33,3,0.33,0.38,1,0.11,17,1.88,58.82,17.647,0.11,0.89,50,0.55,60,0.33,33.33,0,1.66,53.33,6.42,29.31,4.21,0.89,0.11,6.31,1.88,0.66,8.75,74.68,1.44,46.15,2.88,80.77,2.77,80,7.75,78.57,0.11,0,13.52,2.7,0.16,0.89,0,0.11,0,0,0.22,0.55,40,0.55,60,0,0,0.55,0.55,1,55.56,,0,0,0,0,0,0
E. Tverdokhlib,Kryvbas KR,Kryvbas KR,"LCMF, LDMF",24,500000,2027-12-31,12,1149,5,5.68,1,0.28,16.37,44.02,Ukraine,Ukraine,right,182,73,no,7.83,5.64,50,3.76,43.75,0.7,1,0.31,4.31,6.11,1.41,4,0.31,0,0,1.49,0.39,3,0.23,0.44,2,0.16,29,2.27,41.38,17.241,0.08,0.31,50,0.31,50,0,0,0,0.86,45.45,4.15,43.4,2.82,1.33,0.23,15.27,1.25,1.41,25.22,72.98,8.54,56.88,5.17,93.94,7.21,79.35,22.64,76.47,2.27,41.38,17.86,32.51,0.02,0.7,0,0,0.16,0,0.08,4.07,63.46,1.33,58.82,0.39,40,0.63,0.16,5.33,57.35,,0,0,0,0,2,100
Jan Jur?ec,Kryvbas KR,Kryvbas KR,RB,24,0,,12,1176,0,0,2,0.49,12.78,53.29,Croatia,"Croatia, Poland",right,177,66,no,8.42,5.2,67.65,1.61,23.81,0.38,0.54,0.08,4.52,6.41,0.77,1,0.08,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0.15,1.38,44.44,0,0,1.38,44.44,0.08,1.07,71.43,3.9,52.94,0.23,1.07,0.46,17.91,1.07,0.99,30.31,79.55,12.55,70.73,4.21,94.55,9.26,83.47,24.87,85.54,4.21,54.55,19.62,39.25,0.04,0.54,0,0.08,0,0,0.31,4.13,64.81,1.61,66.67,0.23,0,0.46,0.54,7.5,68.37,,0,0,0,0,0,0
