Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
D. Warmerdam,Lyngby,Lyngby,LB,30,650000,,3,107,0,0,1,0.77,15.98,57.89,Netherlands,Netherlands,left,180,73,no,8.41,6.73,37.5,4.21,100,1.68,2.86,0,4.21,7.14,1.68,1,0.84,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0.84,3.36,25,2.52,0,0.84,100,0,0,0,1.68,50,0.84,1.68,0,37.01,0.84,0.84,52.99,79.37,22.71,70.37,9.25,90.91,17.66,90.48,44.58,88.68,5.05,33.33,15.29,14.71,0.65,2.52,0,0,0,0,1.68,4.21,60,5.05,50,0,0,2.52,0.84,13.46,62.5,,0,0,0,0,0,0
I. Mili?evi?,Horsens,Horsens,"LWB, LB",27,600000,2026-06-30,15,1203,0,0.86,3,3.16,14.21,58.95,Croatia,"Croatia, Bosnia and Herzegovina",left,183,76,no,7.33,5.39,70.83,2.09,71.43,0.52,0.65,0.15,2.99,3.73,0.6,2,0.15,0,0,4.56,0,0,0,0.06,0,0,21,1.57,28.57,0,0.22,6.96,37.63,6.51,39.08,0.45,16.67,0.97,2.39,62.5,5.39,43.06,1.27,1.72,0.45,25.29,3.07,0.67,33.74,68.29,10.92,54.79,5.39,93.06,12.42,67.47,22.59,81.13,4.56,45.9,21.93,34.85,0.24,1.65,0.07,0.07,0,0,1.05,4.11,49.09,7.03,47.87,0.22,66.67,0.97,3.07,9.13,71.31,,1.35,0.3,50,2.32,0,0
N. Baden Frederiksen,WSG Swarovski Tirol,Lyngby,"CF, RW",25,600000,2027-06-30,2,45,0,0.17,0,0.03,18,11.11,Denmark,Denmark,left,179,70,no,0,0,0,6,0,0,0,0,0,0,4,1,2,0,0,2,0,0,0,0.35,0,0,2,4,0,0,0,2,100,0,0,2,100,0,4,0,8,25,4,0,0,10,0,2,16,75,0,0,4,100,8,75,14,71.43,0,0,15.39,0,0.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,4,2,0,0,0,0
B. Tiedemann Hansen,AaB,AaB,"LCB, RCB",31,600000,2025-12-31,8,774,0,0.33,0,0,11.63,52,Denmark,Denmark,right,189,78,no,7.33,3.37,82.76,5.23,44.44,0.35,0.43,0.47,4.19,5.12,0.58,1,0.12,0,0,0.35,0,0,0,0.04,0,0,3,0.35,66.67,0,0,0.12,100,0.12,100,0,0,0.12,0.12,0,0.81,14.29,0.58,0.47,0,48.49,0,0.47,65.47,91.47,26.98,84.48,2.79,95.83,30.93,98.12,58.37,95.42,6.98,58.33,21.13,41.94,0,0,0.12,0,0,0,0,9.3,75,0.81,57.14,0.58,60,0.23,0.12,10.58,79.12,,0,0,0,0,0,0
K. Hansen,AaB,AaB,LWF,24,600000,,9,657,5,1.42,0,0.62,13.56,40.4,Norway,Norway,right,175,70,no,3.97,3.15,60.87,2.47,16.67,0.27,0.33,0,1.78,2.15,1.23,1,0.14,0,0,3.01,0.68,5,0.68,0.19,1,0.14,15,2.05,46.67,33.333,0,2.05,13.33,1.78,7.69,0.27,50,0.55,3.01,59.09,6.03,45.45,3.15,3.01,0.41,21.51,2.19,0.82,25.62,80.21,5.75,66.67,9.73,90.14,4.93,69.44,22.88,87.43,0.82,33.33,15.57,8.35,0.08,0.55,0.27,0.14,0.14,0,0.14,1.51,100,2.19,50,0.14,0,1.37,0.27,3.56,80.77,,0.41,0.14,0,0.14,0,0
I. Þorvaldsson,Lyngby,Lyngby,"CF, AMF",24,600000,2027-12-31,15,876,6,4.74,1,1.03,25.99,43.48,Iceland,Iceland,right,182,73,yes,4.62,3.49,64.71,8.84,52.33,0.41,0.51,0,1.95,2.44,1.95,2,0.21,0,0,2.57,0.62,6,0.62,0.49,2,0.21,24,2.47,45.83,25,0.1,0.51,80,0.21,100,0.21,50,0.1,1.03,90,7.29,30.99,4.32,0.72,0.1,8.73,1.03,1.64,12.12,69.49,3.9,55.26,2.26,95.45,2.67,69.23,11.2,70.64,0.41,25,13.9,5.89,0.11,0.62,0,0.1,0.1,100,0.51,1.03,40,0.82,50,0,0,0.41,0.31,1.64,62.5,,0,0,0,0,0,0
S. Colyn,Lyngby,Lyngby,LW,23,600000,,11,695,1,1.47,3,2.48,25.38,46.43,Canada,"Canada, Netherlands",right,182,66,no,6.99,6.73,55.77,2.85,36.36,0.26,0.32,0,2.98,3.73,1.55,0,0,0,0,3.11,0.13,1,0.13,0.19,0,0,20,2.59,15,5,0.39,1.42,27.27,1.17,22.22,0.26,50,0.13,4.14,56.25,13.08,45.54,2.98,2.72,0.13,30.04,0.78,2.72,39.76,82.74,11.91,73.91,11.78,93.41,8.42,86.15,36.78,85.56,1.55,66.67,15.22,22.56,0.32,1.42,0.13,0,0.13,0,0.78,3.88,70,3.5,62.96,0.39,0,2.07,0.39,6.73,71.15,,1.55,0.26,50,2.85,0,0
P. Olsen,Horsens,Horsens,LCMF,31,550000,2026-06-30,14,1382,1,0.75,1,2.86,9.64,45.27,Denmark,Denmark,right,179,79,no,4.23,3.19,53.06,1.43,45.45,0.33,0.41,0.39,2.21,2.82,1.04,5,0.33,1,0.07,0.98,0.07,1,0.07,0.05,0,0,15,0.98,20,6.667,0.07,0.72,54.55,0.46,57.14,0.26,50,0,0.78,41.67,3.65,33.93,0.78,1.5,0.07,39.01,0.39,0.78,48.45,88.71,16.35,78.09,7.88,99.17,15.3,94.04,42.72,92.84,5.01,58.44,18.19,36.81,0.19,1.11,0.07,0,0.2,33.33,0.33,8.79,80.74,2.47,44.74,0.72,36.36,0.98,0.46,7.81,82.5,,1.69,0.13,0,2.08,0,0
L. Vigen,Esbjerg,Esbjerg,"DMF, LCMF, RCMF",31,500000,,16,1466,1,1.02,1,1.06,13.14,49.53,Denmark,Denmark,right,180,80,no,7.06,5.22,61.18,2.33,50,0.06,0.07,0.18,3.81,4.55,1.35,0,0,0,0,0.74,0.06,1,0.06,0.06,1,0.06,12,0.74,33.33,8.333,0.06,0.8,53.85,0.18,66.67,0.55,44.44,0.06,0.43,14.29,3.56,34.48,1.9,2.39,0.06,40.15,0.43,0.43,55.07,87.74,15.35,74.4,8.96,95.89,23.64,93.77,48.62,90.91,5.83,65.26,18.95,38.59,0.06,0.49,0.12,0,0.06,0,0.25,9.21,78,2.39,56.41,1.04,52.94,1.6,0.31,8.23,78.36,,0,0,0,0.06,0,0
R. McCrorie,Esbjerg,Esbjerg,GK,27,500000,2026-05-31,9,869,0,0,0,0,0.62,66.67,Scotland,Scotland,right,188,79,yes,3.11,0.1,100,0.21,100,0,0,0,3,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,16.26,0.21,0.1,27.34,84.47,15.22,76.87,0,0,10.87,95.24,16.47,94.34,10.67,70.87,32.47,47.54,0,0,0,0,0,0,0,2.69,50,0.41,0,0.1,0,0,0,8.8,72.94,0.21,,,,0,0,0
