Player,Team,Team within selected timeframe,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Aerial duels per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
M. Wasielewski,Katowice,Katowice,RWB,31,300000,,15,1458,2,0.54,2,2.66,17.1,56.68,Poland,Poland,right,172,73,no,8.89,7.1,66.96,1.85,40,0.31,0.45,0.31,3.83,5.55,1.48,4,0.25,0,0,2.72,0.12,2,0.12,0.03,0,0,16,0.99,25,12.5,0.12,2.9,21.28,0.37,16.67,2.53,21.95,0.25,2.47,75,5.68,56.52,1.73,1.6,0.25,22.9,2.41,1.6,32.16,77.54,8.15,62.88,8.52,93.48,10.99,79.21,26.48,88.11,2.96,33.33,20.38,34.45,0.16,0.74,0.06,0,0,0,0.31,3.33,70.37,2.53,39.02,0.19,33.33,0.68,0.68,5.49,67.42,,0,0,0,0,0,0
S. Akere,Widzew ?ód?,Widzew ?ód?,"RW, RWF",21,0,2029-06-30,15,852,1,1.83,1,1.24,21.13,42.5,Nigeria,Nigeria,right,180,71,no,4.75,3.8,63.89,3.17,33.33,0.32,0.48,0,2.01,3.02,1.06,3,0.32,0,0,4.65,0.11,1,0.11,0.19,0,0,14,1.48,14.29,7.143,0.11,2.11,30,0.21,50,1.9,27.78,0.42,6.87,52.31,12.68,39.17,2.43,4.44,0.53,14.37,2.11,1.16,21.55,76.96,5.28,72,4.96,91.49,6.13,74.14,19.01,83.33,0.42,25,14.64,6.16,0.13,1.9,0.11,0,0.32,66.67,0.95,1.37,69.23,3.8,66.67,0.21,50,2.43,0.85,4.01,81.58,,0,0,0,0.42,0,0
T. Neugebauer,Lechia Gda?sk,Lechia Gda?sk,"LDMF, AMF, CF",22,600000,,15,862,0,0.48,0,0.38,18.27,49.14,Poland,Poland,right,181,75,no,9.08,7.62,64.38,3.45,39.39,0.52,0.76,0.21,3.65,5.3,1.57,2,0.21,0,0,1.25,0,0,0,0.05,0,0,13,1.36,15.38,0,0,1.25,50,0.63,50,0.63,50,0.1,0.42,75,4.49,32.56,1.36,0.94,0,21.19,0.42,1.25,31.53,76.82,11.07,60.38,5.53,88.68,9.29,85.39,27.04,80.69,3.34,56.25,17.6,29.1,0.04,0.42,0,0,0.42,25,0.42,5.22,66,2.09,50,1.04,20,0.73,0.52,5.12,65.31,,0.21,0.1,0,0.31,0,0
M. Fornalczyk,Widzew ?ód?,Widzew ?ód?,"LWF, LW",22,300000,2029-06-30,15,1155,0,1.71,1,0.98,14.73,47.62,Poland,Poland,right,172,68,no,2.73,3.43,56.82,0.62,37.5,0,0,0,0.78,1.08,1.01,3,0.23,0,0,3.97,0,0,0,0.13,0,0,31,2.42,29.03,0,0.08,2.1,25.93,1.87,25,0.16,0,0.47,4.75,57.38,8.73,49.11,3.58,3.58,1.32,13.01,1.17,1.32,17.06,70.32,3.74,54.17,3.9,94,5.77,71.62,13.95,79.33,1.01,38.46,18.74,14.01,0.08,0.86,0.16,0,0.16,0,0.23,1.4,66.67,2.65,52.94,0.23,33.33,1.32,0.55,3.35,60.47,,0.08,0,0,0.08,0,0
Angel Baena,Widzew ?ód?,Widzew ?ód?,"RWF, RW, LW",25,250000,2027-06-30,15,758,1,1.3,2,1.3,18.64,46.5,Spain,Spain,right,175,0,no,4.51,3.92,54.55,0.59,60,0.24,0.34,0,2.14,3.07,0.71,1,0.12,0,0,6.06,0.12,1,0.12,0.15,0,0,11,1.31,63.64,9.091,0.24,4.39,35.14,0.24,0,4.04,38.24,0.59,7.48,49.21,12.11,47.06,3.44,4.04,1.07,14.96,2.49,2.73,19.71,66.87,4.04,67.65,4.27,94.44,7.01,59.32,14.37,76.03,0.95,75,19.46,11.21,0.15,0.71,0,0.12,0,0,0.47,1.07,44.44,2.26,57.89,0,0,0.47,1.66,2.37,75,,0,0,0,0,0,0
R. Kapi?,Lechia Gda?sk,Lechia Gda?sk,"RDMF, RCMF",30,600000,2027-06-30,15,1386,1,2.01,1,1.46,10.65,49.39,Bosnia and Herzegovina,Bosnia and Herzegovina,left,179,76,no,5.78,3.9,68.33,0.91,50,0.06,0.09,0.13,3.05,4.33,0.52,3,0.19,0,0,1.04,0.06,0,0,0.13,0,0,11,0.71,36.36,9.091,0.06,0.97,20,0.32,0,0.65,30,0.19,1.36,38.1,4.29,33.33,0.91,0.45,0.06,36.95,0.39,0.19,52.73,85.22,17.92,75.72,7.92,96.72,17.27,90.23,47.47,89.19,4.29,56.06,17.03,32.89,0.09,1.36,0.13,0.13,0.32,20,0.39,8.31,75.78,2.79,48.84,0.52,37.5,1.23,0.26,7.21,75.68,,0.78,0,0,1.69,2,50
Fran Álvarez,Widzew ?ód?,Widzew ?ód?,"RCMF, CF",27,600000,2028-06-30,15,1362,5,3.43,2,2.7,13.35,50.5,Spain,Spain,right,178,70,no,5.68,4.43,61.19,1.06,43.75,0,0,0.26,2.97,4.18,0.66,0,0,0,0,2.58,0.33,5,0.33,0.23,0,0,30,1.98,36.67,16.667,0.13,1.39,38.1,0.2,0,1.12,47.06,0.4,1.85,64.29,5.35,46.91,2.51,0.59,0.13,19.03,1.06,1.59,26.23,78.09,7.8,64.41,6.15,93.55,8.19,82.26,23,83.33,1.85,42.86,18.26,26.37,0.18,1.52,0,0,0.13,100,0.46,3.63,67.27,2.25,61.76,0.26,50,1.06,0.59,4.69,64.79,,2.05,0.13,50,3.24,0,0
S. Czy?,Widzew ?ód?,Widzew ?ód?,"DMF, LCMF, RCMF",24,500000,,15,920,0,0.24,0,0.55,11.25,57.39,Poland,Poland,right,176,75,no,8.22,4.89,64,1.17,41.67,0.49,0.7,0.49,4.6,6.62,0.78,1,0.1,0,0,0.68,0,0,0,0.02,0,0,5,0.49,20,0,0,0.1,0,0,0,0.1,0,0,0.68,71.43,3.03,58.06,0.88,1.27,0.1,19.27,0.1,1.47,27.98,87.76,6.75,71.01,5.28,92.59,11.45,96.58,25.34,91.51,2.54,53.85,17.82,27.58,0.05,0.68,0.1,0,0.1,100,0.1,3.33,73.53,0.49,60,0.2,100,0.49,0,3.33,70.59,,0,0,0,0,0,0
D. Hilbrycht,Nieciecza,Nieciecza,"RWB, LWB",27,200000,,15,924,2,1.02,0,2.91,16.07,47.27,Poland,Poland,left,182,70,no,8.18,8.08,59.04,2.24,39.13,0.39,0.48,0.1,3.02,3.75,1.27,1,0.1,0,0,1.85,0.19,2,0.19,0.1,0,0,7,0.68,42.86,28.571,0,3.99,34.15,1.27,23.08,2.73,39.29,0.78,1.17,16.67,4.09,23.81,1.56,0.88,0.29,26.49,2.34,1.07,34.87,70.39,9.94,50,6.43,95.45,11.98,66.67,26.3,80.37,4.77,44.9,18.34,29.68,0.28,1.36,0,0,0,0,0.1,3.9,55,4.77,40.82,0.49,0,0.78,1.46,8.96,61.96,,1.36,0.1,0,2.92,0,0
M. Ambrosiewicz,Nieciecza,Nieciecza,"LCMF, RCMF, DMF",27,300000,,15,1386,1,1.55,2,2.91,10.58,47.24,Poland,Poland,right,184,75,no,5.78,4.09,55.56,1.43,59.09,0.52,0.64,0.19,2.99,3.7,1.17,3,0.19,0,0,1.23,0.06,0,0,0.1,0,0,12,0.78,33.33,8.333,0.13,0.97,46.67,0.52,50,0.39,50,0.26,1.1,35.29,3.9,38.33,0.84,0.71,0.06,32.92,0.52,0.71,44.94,83.82,15.19,70.51,5,97.4,17.6,91.51,39.87,88.76,4.09,44.44,18.53,32.88,0.19,1.49,0.06,0,0.26,50,0.45,8.83,71.32,1.56,66.67,0.91,21.43,0.91,0.45,7.47,79.13,,1.04,0.06,0,2.14,1,100
M. Faßbender,Nieciecza,Nieciecza,"CF, LWF, RWF",27,200000,,15,1025,2,0.59,2,1.69,21.95,42.4,Germany,"Germany, Ghana",right,188,78,no,4.65,4.48,58.82,2.9,30.3,0.09,0.1,0.26,1.93,2.26,1.32,0,0,0,0,3.69,0.18,2,0.18,0.05,0,0,15,1.32,26.67,13.333,0.18,2.28,26.92,0.26,0,2.02,30.43,0.61,4.74,57.41,10.19,40.52,3.34,2.28,0.26,11.59,1.93,0.61,17.03,70.1,3.34,60.53,6.15,88.57,3.69,52.38,14.49,78.18,0.26,0,14.67,7.83,0.15,0.79,0,0,0.09,0,0.61,0.61,42.86,1.4,43.75,0.09,0,0.7,0.53,1.58,44.44,,0,0,0,0,0,0
G. Isik,Nieciecza,Nieciecza,RCB,26,300000,,15,1438,0,0.84,0,0.97,13.39,54.21,Germany,Germany,right,187,77,no,9.39,5.88,65.96,2.07,36.36,0.06,0.08,0.75,5.45,6.8,0.56,1,0.06,0,0,1.44,0,0,0,0.05,0,0,14,0.88,35.71,0,0,1.38,36.36,0.13,0,1.19,42.11,0.19,0.94,60,3.88,48.39,1,1.56,0.38,32.61,0.63,1.06,46.44,86.12,19.9,78.93,4.32,92.75,15.52,91.94,39.49,91.92,5.63,56.67,18.52,37.92,0.06,0.38,0,0,0.06,100,0.13,7.13,75.44,2.25,55.56,0.81,38.46,1.13,0.5,9.33,76.51,,0,0,0,0,0,0
X. Dzieko?ski,Korona Kielce,Korona Kielce,GK,22,800000,2027-06-30,15,1472,0,0,0,0,0.86,100,Poland,Poland,right,188,77,no,1.04,0.06,100,0.73,100,0,0,0,0.98,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,13.63,0.12,0.18,24.15,82.53,14.8,72.31,0,0,8.8,99.31,13.39,96.8,10.76,64.77,34.57,50.32,0,0,0,0,0,0,0,4.1,53.73,0.49,12.5,0.31,0,0,0,7.52,81.3,0.73,,,,0,0,0
M. Pi?czek,Korona Kielce,Korona Kielce,"LCB, LB",24,400000,2026-06-30,15,1112,0,0.66,2,0.67,10.68,49.24,Poland,Poland,left,185,84,no,6.96,4.05,64,2.27,46.43,0.08,0.11,0.49,4.29,5.72,0.73,0,0,0,0,0.81,0,0,0,0.05,0,0,7,0.57,28.57,0,0.16,1.38,29.41,1.13,21.43,0.24,66.67,0,0.57,42.86,2.83,22.86,0.81,1.13,0.16,22.99,0.57,0.24,33.75,77.94,15.05,70.43,3.72,91.3,11.01,86.76,27.19,85.71,5.42,47.76,22.05,33.91,0.05,0.73,0,0,0,0,0.32,4.61,73.68,1.46,38.89,0.24,33.33,0.24,0.4,9.23,62.28,,0.08,0.08,0,0.24,0,0
M. Remacle,Korona Kielce,Korona Kielce,"RCMF, LCMF",28,550000,2026-06-30,15,1267,2,3.54,0,1.1,14.78,52.4,Belgium,Belgium,right,176,70,no,7.46,5.82,54.88,0.85,41.67,0.36,0.45,0.43,3.91,4.91,1.21,3,0.21,0,0,1.92,0.14,1,0.07,0.25,0,0,36,2.56,27.78,5.556,0,0.92,15.38,0.36,20,0.5,0,0,1.7,58.33,6.46,50.55,1.56,0.92,0.14,27.92,0.43,1.99,37.93,81.84,13.85,74.87,6.25,95.45,11.93,82.14,33.46,88.75,3.55,34,17.99,39.57,0.08,0.5,0,0,0.07,100,0.14,6.54,67.39,2.2,41.94,0.36,20,0.71,0.28,5.26,77.03,,0.14,0,0,0.36,1,100
T. Svetlin,Korona Kielce,Korona Kielce,"LCMF, RCMF, DMF",24,500000,2026-06-30,15,1409,0,0.42,0,1.09,15.27,56.9,Slovenia,Slovenia,right,177,69,no,8.56,5.24,75.61,1.02,25,0.38,0.5,0.13,4.22,5.47,0.57,2,0.13,0,0,1.21,0,0,0,0.03,0,0,11,0.7,0,0,0,0.96,53.33,0.26,25,0.7,63.64,0,1.15,55.56,6.45,48.51,0.77,1.34,0.19,24.08,0.45,1.98,39.22,87.3,12.2,78.53,6.64,93.27,13.35,91.39,35.39,90.25,2.87,62.22,17.81,37.72,0.07,0.77,0,0,0.13,50,0.51,5.81,79.12,1.98,54.84,0.57,33.33,0.89,0.64,6.13,79.17,,0,0,0,0,0,0
K. Matuszewski,Korona Kielce,Korona Kielce,"LWB, LB",24,450000,,15,1222,2,1.67,0,2.47,13.55,49.46,Poland,Poland,left,182,76,no,5.97,4.79,52.31,2.14,51.72,0.29,0.38,0.29,3.17,4.03,0.59,1,0.07,0,0,3.46,0.15,2,0.15,0.12,0,0,12,0.88,33.33,16.667,0,3.54,47.92,3.54,47.92,0,0,0.52,2.21,66.67,5.38,46.58,1.62,1.4,0.22,18.85,1.62,0.96,29.31,80.4,9.8,72.93,5.74,97.44,8.4,74.56,23.35,87.7,2.8,52.63,17.27,31.32,0.18,1.25,0,0,0,0,0.96,3.61,77.55,3.98,61.11,0.44,33.33,0.96,1.69,7,78.95,,0.52,0,0,0,0,0
P. Mukairu,Pogo? Szczecin,Pogo? Szczecin,"LW, RW, CF",25,0,2027-06-30,15,615,3,2.19,0,0.38,19.32,43.18,Nigeria,Nigeria,right,182,78,no,3.8,4.54,58.06,2.78,31.58,0,0,0,1.17,1.8,0.88,1,0.15,0,0,3.22,0.44,3,0.44,0.32,1,0.15,10,1.46,60,30,0,0.73,20,0,0,0.73,20,0.15,3.22,63.64,9.8,41.79,2.93,3.37,0.29,16.68,2.05,0.88,21.07,80.56,4.68,78.13,7.46,88.24,4.68,75,19.9,83.82,0.59,25,12.03,8.75,0.06,1.02,0.15,0.29,0.15,100,0.44,1.17,62.5,2.34,68.75,0,0,2.05,0.29,2.05,85.71,,0,0,0,0,0,0
K. Grosicki,Pogo? Szczecin,Pogo? Szczecin,"CF, LW",37,500000,2026-06-30,15,1308,6,6.29,4,6.13,7.78,37.17,Poland,Poland,right,180,78,no,1.51,1.58,30.43,0.28,0,0,0,0,1.03,1.48,0.41,2,0.14,0,0,5.44,0.41,5,0.34,0.43,0,0,44,3.03,38.64,13.636,0.28,4.95,44.44,3.37,51.02,1.44,28.57,1.03,3.51,56.86,5.16,44,6.47,2.13,0.28,17.13,2.13,0.14,19.75,69.69,4.68,63.24,3.44,96,6.81,64.65,13.97,78.82,0.89,69.23,16.23,16.96,0.42,2.75,0.07,0.07,0.14,50,1.31,1.31,84.21,3.65,45.28,0.34,40,1.24,2.34,4.4,75,,1.1,0.07,0,3.65,1,100
L. Koutris,Pogo? Szczecin,Pogo? Szczecin,LB,30,600000,2026-06-30,15,1025,0,0.75,0,0.75,10.62,52.89,Brazil,"Brazil, Greece",left,170,71,no,9.13,5,56.14,1.93,36.36,0.26,0.37,0.53,6.06,8.45,0.44,3,0.26,0,0,2.02,0,0,0,0.07,0,0,6,0.53,33.33,0,0,2.72,38.71,2.63,40,0,0,0.26,0.88,80,2.55,55.17,0.97,1.32,0.09,28.98,1.58,1.23,40.83,74.19,17.21,62.76,7.2,92.68,12.12,78.99,32.22,83.38,5.88,40.3,19.44,30.97,0.07,0.61,0.18,0,0.18,50,0.26,6.5,60.81,3.78,46.51,0.7,50,0.7,1.23,10.8,60.98,,0,0,0,0.18,0,0
