Player,Team,Team within selected timeframe,Position,Age,Market value,Matches played,Minutes played,Duels per 90,"Duels won, %",Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals per 90,xG per 90,Head goals per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %","Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Y. Sabaly,Al Duhail,Al Duhail,RB,32,2500000,2,122,17.7,54.17,right,173,10.33,4.43,66.67,1.48,100,0,0,7.38,12,0.74,2.95,0,0,0.02,0,0.74,0,0,0,3.69,20,2.21,100,8.85,33.33,2.95,2.95,0,28.03,2.21,0,45,85.25,17.7,87.5,94.12,3.69,60,0.22,1.48,0,0,0,1.48,5.16,71.43,5.16,71.43,0,0,3.69,0.74,10.33,85.71,0,0,0,0,0,0
Amro Abdelfatah Ali Surag,Al Gharafa,Al Gharafa,RB,27,325000,4,118,12.2,68.75,right,168,9.15,6.1,87.5,1.53,0,0,0,3.81,5.17,0.76,1.53,0,0,0,0,0,0,0,0,0.76,0,1.53,100,4.58,66.67,1.53,0.76,0,24.41,3.05,1.53,34.32,80,9.15,75,83.33,1.53,50,0,0,0,0,0,0,0.76,100,0,0,0,0,0,0,4.58,33.33,0,0,0,0,0,0
Abdullah Alahrak,Al Duhail,Al Duhail,"LDMF, LCMF",28,275000,2,115,13.3,35.29,right,175,5.48,4.7,66.67,0.78,0,0,0,2.35,3.33,0.78,0.78,0,0,0,0,0,0,0,0,0,0,2.35,33.33,7.83,20,0,1.57,0,42.26,0,0,54,86.96,13.3,58.82,90.63,3.91,40,0,0,0,0,0,0,5.48,71.43,3.13,50,0,0,0.78,0,8.61,81.82,0,0,0,0,0,0
Abdulrahman Moustafa,Al Ahli,Al Ahli,"RW, RCMF, RAMF",28,150000,3,110,19.64,33.33,right,177,3.27,4.91,50,0,0,0,0,0.82,1.25,0,1.64,0,0,0.26,0,2.45,0,0,0,0,0,3.27,50,12.27,20,4.09,0.82,0,27,0,0,26.18,87.5,5.73,85.71,87.5,0,0,0,0,0,0,0,0,3.27,100,1.64,100,0,0,1.64,0,3.27,100,0,0,0,0,0,0
Gerard Hernández,Al Arabi,Al Arabi,"RCMF, LCMF, LDMF",20,0,4,107,11.78,42.86,right,0,5.05,2.52,33.33,1.68,100,0,1.68,4.21,6.82,0.84,1.68,0,0,0.03,0,0.84,100,0,0,0,0,0.84,100,4.21,40,0,0,0,26.07,0,1.68,35.33,85.71,11.78,85.71,86.11,5.05,83.33,0.01,0.84,0,0,0,0,5.89,71.43,0.84,100,0.84,0,0,0,6.73,87.5,0,0,0,0,0,0
A. Fadlelmawla,Al Ahli,Al Ahli,RB,22,0,1,102,14.12,68.75,,0,8.82,7.94,55.56,0.88,100,0,0,4.41,6.25,0.88,0.88,0,0,0,0,0,0,0,0,0.88,100,0,0,2.65,66.67,0,0,0,22.94,3.53,1.76,34.41,89.74,8.82,90,94.44,1.76,0,0.17,0.88,0,0,0,0.88,1.76,50,0.88,100,0.88,0,0,0.88,3.53,100,0,0,0,0,0,0
M. Ismail Batat,Qatar SC,Qatar SC,"RB, RWB",32,0,1,102,7.94,77.78,,0,7.94,5.29,83.33,1.76,50,0.88,0,2.65,4.5,0,0,0,0,0,0,0,0,0,0,1.76,0,0,0,0,0,0.88,0.88,0,12.35,0,0,19.41,63.64,7.06,37.5,92.86,5.29,16.67,0,0,0,0,0,0,3.53,25,2.65,0,0,0,0,0,3.53,75,0,0,0,0,0,0
A. Hazaa Alhasia,Umm Salal,Umm Salal,LB,,0,1,101,9.8,36.36,,0,7.13,7.13,50,1.78,0,0.89,0,2.67,3.1,0.89,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,8.02,0,0,13.37,66.67,6.24,57.14,81.82,2.67,33.33,0,0,0,0,0,0,2.67,33.33,0,0,0,0,0,0,2.67,66.67,0,0,0,0,0,0
F. Russo,Qatar SC,Qatar SC,RCB,31,900000,1,101,13.37,66.67,right,185,9.8,4.46,60,2.67,66.67,0.89,0,6.24,8.4,0,0.89,0,0,0,0,0.89,0,0,0,0,0,0.89,100,1.78,100,0.89,0.89,0,34.75,0,0.89,50.79,87.72,22.28,72,89.09,1.78,50,0,0,0,0,0,0,8.91,80,0,0,0,0,0.89,0,6.24,71.43,0,0,0,0,0,0
Rayyan Al Ali,Al Gharafa,Al Gharafa,"LWB, LB",19,0,3,96,18.75,55,unknown,0,12.19,14.06,46.67,2.81,66.67,1.88,0,3.75,7.5,0.94,1.88,0,0,0,0,0,0,0,0,0.94,100,0.94,100,1.88,100,0.94,1.88,0,25.31,0.94,1.88,30.94,90.91,6.56,85.71,90.32,0.94,100,0.15,0.94,0,0,0,0.94,2.81,100,0.94,100,0,0,0,0.94,4.69,100,0,0,0,0,0,0
