Player,Team,Team within selected timeframe,Position,Age,Market value,Matches played,Minutes played,Duels per 90,"Duels won, %",Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals per 90,xG per 90,Head goals per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %","Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %"
Almoez Ali,Al Duhail,Al Duhail,RAMF,29,3000000,1,21,,,right,180,,,,,,,,,12,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
A. Fadel,Al Wakrah,Al Wakrah,LDMF,32,175000,1,21,,,right,0,,,,,,,,,6,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M. El Sayed,Al Rayyan,Al Rayyan,CF,21,0,1,20,,,unknown,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Ali Asad,Al Sadd,Al Sadd,AMF,32,200000,1,20,,,right,175,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Ibrahim Abdullmajed,Al Shamal,Al Shamal,RCB,35,0,1,16,,,unknown,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Husam Hassunin El Said,Al Shahaniya,Al Shahaniya,RB,29,0,1,16,,,right,181,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Ghanem Al Minhali,Al Duhail,Al Duhail,LB,20,0,1,15,,,left,173,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Mohammed Abdulla Al-Ishaq,Al Ahli,Al Ahli,LCB,22,0,1,14,,,right,184,,,,,,,,,30,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Simo,Al Shahaniya,Al Shahaniya,RB,22,0,1,14,,,unknown,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
A. Alqahtani,Al Rayyan,Al Rayyan,LW,19,0,1,14,,,right,165,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
M. Holgate,Al Gharafa,Al Gharafa,RB,29,5000000,1,14,,,right,184,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Khalid Muneer,Al Wakrah,Al Wakrah,LAMF,27,275000,1,13,,,right,174,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
A. Qahtani,Al Rayyan,Al Rayyan,RAMF,19,0,1,13,,,unknown,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Adel Al Omari,Al Shahaniya II,Al Shahaniya,RCMF,35,0,1,12,,,,186,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Abdallah Khaled Sheikh,Umm Salal,Umm Salal,RW,27,100000,1,10,,,right,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Mohamad Hassan Safeldin,Al Arabi,Al Arabi,RAMF,22,0,1,10,,,right,164,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Abdullah Al Yazidi,Al Sadd,Al Sadd,RB,23,0,1,9,,,right,176,,,,,,,,,30,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
A. Mahajna,Al Rayyan,Al Rayyan,LDMF,29,0,1,9,,,right,187,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Mohammed Al Naimi,Al Arabi,Al Arabi,LB,25,0,1,8,,,left,178,,,,,,,,,15,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Yousef El Khatib,Al Wakrah,Al Wakrah,RB,21,0,1,5,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Hashim Ali,Al Sadd,Al Sadd,CF,25,250000,1,2,,,right,166,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
